---
Bogennummer: 55619
Ort: Skarboszewo
Sprache: Polnisch
Bogentyp: NMD_1879/80
Erhebung: ''
Transliterationsprojekt: ''
Transliterent: ''
Anmerkungen: ''
...
WS01	Wzimie lata suche liście w powietrzu.
WS02	Przestanie wnet padać <(śnieżyć)> to będzie lepsze powietrze.
WS03	Nałóż węgli w piec, ażeby mleko się wnet zagotowało.
WS04	Ten dobry stary człowiek zarwał się z koniem na lodzie i wpadł w zimną wodę.
WS05	On umarł przed czterema, lub sześciu tygodniami.
WS06	Ogień był za mocny, placki są spodem zupełnie spalone.
WS07	On zawsze je jaja bez pieprzu i soli.
WS08	Nogi bardzo mnie bolą, myślę że mi się przebrały.
WS09	Ja byłem u téj pani i powiedziałem jéj, a ona mówiła, że to powie swéj córce.
WS10	Ja tego już więcéj nie uczynię.
WS11	Ja ci zaraz dam kopyścią po uszach, ty małpo.
WS12	Dokąd idziesz, mamy też z tobą iść?
WS13	Są złe czasy.
WS14	Moje kochane dziecko, zostań tu, te złe gęsi by cię zagryzły.
WS15	Tyś się dziś najwięcéj nauczył i byłeś grzecznym, możesz zatem wprzód iść de domu, jak drudzy.
WS16	Tyś jeszcze nie urosł, abyś butelkę wina wypił, ty jeszcze musisz długo rosnąć i większym być.
WS17	Jdź, bądź tak dobry i powiedz twéj siostrze, ona ma suknie dla waszéj matki uszyć i je wyszczotkować.
WS18	Gdybyś go był znał, to byłoby się inaczéj stało i byłoby z nim lepiéj.
WS19	Kto mi ukradł mój koszyk z mięsem?
WS20	Tak się postawił, jakoby go do młocki stalowali; oni sami to bez niego zrobili.
WS21	Komu opowiadał tę nową historyą?
WS22	Trzeba mocno krzyczeć, bo on nas nie zrozumie.
WS23	Jesteśmy strudzeni i mamy pragnienie.
WS24	Jak my wczoraj wieczorem powrócili, już drudży spoczynali w łóżku i mocno spali
WS25	Snieg tę noc u nas przeleżał, ale dziś rano stajał.
WS26	Za naszym domem stoją trzy piękne jabłonie z czerwonemi jabłuszkami.
WS27	Nie mogliście chwilki na nas czekać, tobyśmy śli z wami.
WS28	Nie musicie takiego dziecinstwa robić.
WS29	Nasze góry nie są bardzo wysokie, wasze są wiele wyższe.
WS30	Jle funtów kiełbasy <(kiszki)> i ile chleba chcecie?
WS31	Ja was nie rozumiem, musicie głośniéj mówić.
WS32	Nie znalezliście dla mnie kawałka białego mydła na mym stole?
WS33	Jego brat chce scbie dwa piękne nowe domy w waszym ogrodzie budować.
WS34	To mówił ze serca.
WS35	To było dobrze od nich.
WS36	Co za plaszki siedzą na tym murku?
WS37	Te chłopy przyprowadzili pięć wołów, dziewięć krów i dwanaście owiec pod wieś i chcieli je sprzedać.
WS38	Ludzie są dziś wszyscy na polu i sieką.
WS39	Jdź, ten brunatny pies nic ci nie zrobi.
WS40	Ja z temi ludzmi tam w tyle przez łąkę w żyto wjechałem.
