---
Bogennummer: 55688
Ort: Turew
Sprache: Polnisch
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: Syntaxauswertung Fleischer
Transliterent: Sara Hayden
Anmerkungen: ''
...
WS01	Zimą latają suche listki w powietrzu do koła.
WS02	Przestuje zaraz śnieg padać, potem staje się powietrze znow lepsze.
WS03	Nakładź węgli wpiec, żeby mleko wcześniéj zaczęło się gotować.
WS04	Ten dobry stary chłop zarwał się z koniem na lodzie i wpadł w zimną wodę.
WS05	Oo[!] umarł przed czterema lub szościma tygodnia {Scan unvollständig}
WS06	Ogień był za mocny, placki są pod spodem całe spalone.
WS07	On jé jaja zawsze bez soli i pieprzu.
WS08	Nogi mnie bardzo bolą pewnie je namógłem.
WS09	Byłem u téj pani, powiedziałem jéj to, i ona mówiła, że chciała to téż swojéj córce powiedzieć.
WS10	Już tego więcéj raz nie będę robił.
WS11	<(Satz nicht vorhanden)>
WS12	Gdzie idziesz mamy z Tobą iść.
WS13	To są kiepskie czasy.
WS14	Moje kochane dziecko, pozostań tu na dole, boby cie te złe Gęsi zagryzły.
WS15	Ty się dziśiaj najlepiéj nauczyłeś i byłeś grzecznym, możesz rychléj iść do domu niż ci drudzy.
WS16	Jesteś jeszcze za mały, aby jednę flaszkę wina wypić, ty musisz jeszcze trochę podrość i większym być.
WS17	Idź, bądź tak dobry, powiedz twojéj siostrze, że miała ubiór dla waszéj matki uszyć i szczotką wyczyścić.
WS18	Gdybyś go był znał wtedy byłoby to inaczéj się stało, i byłoby z nim lepiéj.
WS19	Kto mi ukradł mój koszyk z mięsem?
WS20	On udawał, jakoby go do młocenia obstalowano; ale oni sami to zrobili
WS21	Komu on tę nowinę opowiadał.
WS22	Trzeba głośno krzyczeć, bo on nas nie zrozumie.
WS23	Jesteśmy strudzeni i chce się nam pić.
WS24	Gdyśmy wczoraj na wieczór do domu przyśli, byli już wszyscy w łóżku i mocno spali.
WS25	Śnieg u nas przez noc przeleżał i dopiero dziś rano ztopniał.
WS26	Za naszem domem stoją trzy pięknie jabłonie  z czerwonemi jabłuszkami.
WS27	Moglibyście chwilkę za nami zaczekać tobyśmy szli zwami.
WS28	Nie bądzćie tacy dziecinni.
WS29	Nasze góry nie są zbyt wysokie, ale wasze są daleko wyższe.
WS30	Ile chcecie funtów kiełbasy i chleba.
WS31	Nie rozumiem was, musicie trochę głośniéj mówić.
WS32	Nie znaleźliście kawałka białego mydła na mojem stole?  
WS33	Jego brat chce sobie dwa piękne domy w waszym ogrodzie wybudować.
WS34	To słowo było szczere.
WS35	To było słusznie z ich strony.
WS36	Co tam za ptaszki u góry na murku siedzą!
WS37	Gospodarze zaprowadzili pięć wołów, dziewięć krów i dwanaście owieczek do swi i chcieli je sprzedać.
WS38	Dzisiaj niemasz nikogo w domu, sieką na polu.
WS39	Idź tylko, tén szarek cie nię ugruyzie.
WS40	Wjechałem z temi ludźmi tam w dole przez łąkę w zboże.
