---
Bogennummer: 55855
Ort: Przygodzice Colonie
Sprache: Polnisch
Bogentyp: NMD_1887
Erhebung: ''
Transliterationsprojekt: Syntaxauswertung Fleischer
Transliterent: Sara Hayden
Anmerkungen: ''
...
WS01	Zimą latają suche liścia w powietrzu.
WS02	Śnieg przestanie zaraz padać, w tedy będzie lepiéj.
WS03	Włóż węgli do pieca, ażeby się mleko prędzej zaczȩło gotować.
WS04	Dobry stary chłop zarwał się z koniem na lodzie i wpadł i w zimną wodę.
WS05	Umarł przed czterma albo sześćma tygodniami.
WS06	Ogien był za ostry, bo placki od spodu się przypaliły.
WS07	On zawszo jy jaja bez soli i pieprzu.
WS08	Nogi mnie bolą, zdaje mo się, żem je zmógł.
WS09	Byłem u Pani i powiedziałem, a ona odpowiedziała, że też chciała powiedzieć swojéj córce.
WS10	Ja już więcéj razy tego nie będę czynił!
WS11	Ja ci zaraz dam ważechą po uszach, ty małpo!
WS12	Dokąd ty idziesz, mamy iść z tobą?
WS13	Są kiepskie czasy!
WS14	Moje kochane dziecko, zostan zu stać, bo złe gęsi zagryzły by cię.
WS15	Tyś się dziś najwięcéj nauczył, i byłeś grzecznym, dla tego możesz rychléj iść do domu, niż ci drudzy.
WS16	Tyś jeszcze nie jest tak wielki, ażebyś mógł flaszkę wina wypić, ty musisz jeszcze cokolwiek urość i większem być.
WS17	Idź, bądź taki dobry i powiedz twojéj śiojstrze, bo ona miała suknię dla waszéj matki uszyć i szczotką wyczyścić.
WS18	Żebyś go był znał, wtedy byłoby się inaczéj stało i byłoby z nim lepiéj.
WS19	Kto mi skradł moj kosik z mięsem?
WS20	On tak czynił, gdyby go do młocenia obstalowali, ale oni sami zrobili.
WS21	Komu on ten nową historyją opowiadał?
WS22	Trzeba głośno wżeszczeć, bo tak nie zrozumie nas.
WS23	My są zmęczeni i mamy pragnienie.
WS24	Gdyśmy w czoraj na wieczor na powrót przyszli, to ci drudzy już leżeli w łóżku i byli blisko twardego śpiku.
WS25	Śnieg tej nocy u nas został leżeć, ale dziś rano stopniał.
WS26	Za waszem domem stoją trzy ładne jabłoneczki z czerwonemi jabłeczkami.
WS27	Nie możecie jeszcze chwileczkę na nas zaczekać, w tedy pujdziemy zwami.
WS28	Nie musicie takiego dziecinstwa czynić.
WS29	Nasze góry nie są tak wysokie, wasze są o wiele wyższe.
WS30	Ile funtów kiszek i chleba żądacie?
WS31	Ja was nie rozumiem, musicie troszkę głośniéj mowić.
WS32	Nie znaleźliście kawałeczka białego mydła na mojem stole?
WS33	Jego brat chce sobie wybudować dwa piękne domy we waszym ogrodzie. 
WS34	To słowo przyszło mu od serca!
WS35	To było słusznie od was!
WS36	Co tam siedzą do góry za ptaszki na tym murku?
WS37	Wieśniacy przyprowadzili pięć wołów, dziewięć krów i dwanaście owiec do wsi i chcieli je sprzedać.
WS38	Ludzie są dziś wszyscy na polu i sieką.
WS39	Idź tylko, ten szarek <(szary pies)> nic ci nie zrobi.
WS40	Ja z ludźmi tam przez koniec łąki w żyto wjechałem.
