---
Bogennummer: 56479
Ort: Haasow
Sprache: Sorbisch
Bogentyp: NMD_1879/80
Erhebung: ''
Transliterationsprojekt: Stone <(2003)>
Transliterent: Gerald Stone
Anmerkungen: ''
...
WS01	Simme letaju te ßuche lopenna luft’sche hokowo.
WS02	Wonno ße pschestano net sneg hisch, pon hordujo to wedro saß lepsche.
WS03	Pschiquasch Kohle do tich Kamen, asch to mloko buscho ße baudi warrisch sachopisch.
WS04	Ten dobri stari zwojek jo stim Konnom psches den lot a do teje simneje wudi pschepannu.
WS05	Won jo psched stiri abi schessch tischen humrew.
WS06	Ten hogen jo bu zu schopwi, te tikanze ßu ße sposi zole zarne spalili.
WS07	Won je te jaja pscheze psches ßolli a pepra.
WS08	Te nogi mi welgen bulä, ja werrim, ja ßom ße je pschegnauw.
WS09	Ja ßom pschi te schenskej büw a ßom je gron̄ew, a wonna gron̄iwa, won̄a kschiwa jeje schoze teke gron̄isch.
WS10	Ja nok jo teke ßaße weze zinnisch.
WS11	Ja biju schi steju warenzku <(schizu)> hokowo tich huschow, ti naupa.
WS12	Scho puschosch, demi mi stebu hisch?
WS13	Wonno ßu schlecht Zaße.
WS14	Mujo lube golle, wostan how dowoize stoiezi, te swe gußi schi sakußiju.
WS15	Ti ßi schinza neschwez huknuw, a ßi poßuschni büw, ti desch hisch pere domoi ak te druge.
WS16	Ti neßi hischschzi weliki doszch jan̄u flaschu winna hupysch, ti mußisch hischschzi jan konz roszsch a wetschi hordowasch.
WS17	Schÿ, bisch tak dobri a gron twoje schotschi, wonna dej tu drastwu twojeje mam̄i huschisch a steju berschtu zistu nagotowasch.
WS18	Gab ti jog snau! ga bi schikno hinnaze pschischwo a snim bi lepe stojawo.
WS19	Chto jo mi moj Kerb s’meßom hukschannu?
WS20	Won zinnascho tak, abi wonni jog k’moschenoju hobstellualli, wonni pak ßu ja ßam̄i zinnili.
WS21	Kommu jo wun to nowe hulizowanne hulizowauw?
WS22	Wonno mußi ße welgen drete hordowasch, waze nerosmejo won nam niz.
WS23	Mi ßmi muzne a ßmi wazne.
WS24	Ak mi zora jazor ßmi naßletk pschischli, laschachuw te druge jusch postolli a spachu twardo.
WS25	Ten sneg jo nozi laschezi wostauw, ale schinza scheiza jo won wotaijauw.
WS26	Slisi naschogo dwora stoije 3 redne jabukowe bomki s’zerwenim̄i jabuschkam̄i.
WS27	Namschoscho wie hischzi chilku na nas zakasch, pon schom̄i mi swammi.
WS28	Wi nedejscho taki schischezi zeig gonisch.
WS29	Nasche gore neßu <(zu)> welgen hußokej, te wasche ßu wele huschej.
WS30	Wele punt hischnizo a wele Kleba zoscho wi mesch.
WS31	Ja wam nerosmeju niz, wü mußischo pitschku lepe pojedasch.
WS32	Nestscho wü schedn kusk bėweje sepi samnoj na mojem blische nam̄akalli.
WS33	Jogo bratsch zo ße dwa redne noje chroma we waschim gum̄ne twarisch.
WS34	To ßlowo pschischwo jomu wot hutschobi.
WS35	To jo buwo pschawe wot nich!
WS36	Kake taschki ßesche tam swercha na te murri?
WS37	Te bura ßu <(meli)> pesch wo a schewisch krow a dwanaszscho woizko pretk teje Si pschijadli, te ßu wun̄e kscheli pschedasch.
WS38	Te lusche ßu schinza schikne wenze na poli a ßeku.
WS39	Schi jan, ten brunni pjas nezinni tebe niz.
WS40	Ja ßom stimmi luschimi tam slisi na tu huku do schita jew.
