---
Bogennummer: 56483
Ort: Greifenhayn
Sprache: Sorbisch
Bogentyp: NMD_1879/80
Erhebung: ''
Transliterationsprojekt: Stone (2003)
Transliterent: Gerald Stone
Anmerkungen: 'aus: Stone, Gerald (2003): Der erste Beitrag zur sorbischen Sprachgeographie. Aus dem Archiv des deutschen Sprachatlas. In Lĕtopis 50. Zeitschrift für sorbische Sprache, Geschichte und Kultur. Sonderherft. Bautzen: Domowina-Verlag. S. 77.'
...
WS01	Symje huljetuju ssuche lopjena psches ljuft. 
WS02	Ssnjeg ned pschestanio huletowasch, potom wjedro sassej ljepsche buźo. 
WS03	Polož huglje do kachljow, aby mloko skoro sse sachopilo warisch. 
WS04	Dobry stary muž jo s’konjom psches ljod lamal a do symneje wody padnul. 
WS05	Won jo psched styrimi abo schescźimi tyźenjami humrjel. 
WS12	Źo pojźosch? derbimy stobu hisch? 
WS13	Sle zassy ssu. 
WS21	Komu jo won nowu basnju hulizyl? 
WS22	Trjoba jo s’wotschym glossom sse drejsch, howazej won nas ńerosmejo. 
WS23	Muzne ssmy a lazne. 
WS29	Nasche gory njejssu wjelgin hussoke, wasche ssu wjelé husche. 
WS33	Jogo bratsch zo ssebje dwje nowej wjažy wo waschom gumnje twarisch. 
WS34	Sslowo jomu pschiźe wot hutschoby.
