---
Bogennummer: '56522'
Ort: Klix
Sprache: Sorbisch
Bogentyp: NMD_1879/80
Erhebung: ''
Transliterationsprojekt: Stone (2003)
Transliterent: Gerald Stone
Anmerkungen: ''
...
WS01	W zymje lĕta suche lisče wokoło.
WS02	Snje bórzy přestanje, potom budźe wedro zaso rjane.
WS03	Nakładž wuhla do kachlow, zo so mlóko zawari.
WS04	Ton bohi stary je so na lodże z konjom přepadnył a do zymnej wody padnył.
WS05	Wón je před štyrjomi aby šesčimi njedżelemi wumrjeł.
WS06	Pĕc bje přepyrena, tykancy su spody wšĕ smudžene.
WS07	Wón jeja přeco bjeż selje a póperja jĕ.
WS08	Nohi mje jara bola, najskeršo sym sebi je zrybował.
WS09	Ja sym pola teje žony pobył a sym jej prajił, a wona slubi, zo chce jo tez swojej džowcy prajič.
WS10	Ja to wjacy ćinič nochcu.
WS11	Ja će z mĕšawu za wuši smyknu, wopica.
WS12	Hdže džeš? smĕmy sobu přindż?
WS13	Su hubjene ćasy.
WS14	Lube džĕćo, wostan delkach, te złe husy ce zkusaja.
WS15	Ty sy džensa najpĕknišo wuknył a posłušny był, ty smĕš predy druhich domoj hić.
WS16	Ty hišce nejsy wulki dosć, zo by móhł blešu wina znesč, ty dyrbiš hišće kónc přirosć.
WS17	Dži, zčin mi k woli a rjek sotři, zo chcyła te drasćenje za wašu mać došič a ze ščĕču wućesać.
WS18	Hdy by jeho znał, hda by hinak [z nim stało] přišło a lĕpe znim stało.
WS19	Štu je mój korb z mjasom kradnył?
WS20	Wón ćineše, jako bychu jeho na młoćenje skazali [by na młoćenje skazany był] woni su jo pak sami sčinili.
WS21	Komu je wón ton nowy podałk powjedał?
WS22	Wołajmy wótře, hjewak nam njezrozÿmi.
WS23	My smy mućni a laćni.
WS24	Jako so wčera wječor wróčichmy, ležachu ći druzy hižom w łožach a spachu twjerdže.
WS25	W nocy bĕ snĕ pola nas ležo wostał, ale na ranje je rostał.
WS26	Před poslencu steja tři zróstne jabłočinki z čerwjenymi jablóćkami.
WS27	Njemóžeće hišće khwilku wočakać? Potom džemy sobu.
WS28	Wy njesmĕce tajke pryslje hnać.
WS29	Naše horÿ nejsu jara wysoke, waše su wjele wyšše.
WS30	Wjele kołbasy a khlĕba chceče mĕč?
WS31	Ja wan njerozymju, ryčče trochu wótřišo.
WS32	Nejsće mój kusk mydła na blidži pytnyli?
WS33	Jeho bratr chce sebi dwĕ nowej khĕži <w> na wašej zahrodźe twarić.
WS34	To słowo přindže jemu wot wutroby!
WS35	To bĕ prawje wot njeho!
WS36	<To bĕ prawje wot njeho!> Što su to za ptački tam horkach na muričcy?
WS37	Či burja <mejachu> bjechu pječ wołow a džeweč kruwow a dwanačen wowocow před wjes prihnali a chcychu je předać.
WS38	Ludžo su dżensa wšitcy na polje a syku tam.
WS39	Přeco dzi, tón bruny psyk či ničo nječini.
WS40	Ja sym stymi ludžimi tam zady po łukach do žita jĕł.
