---
Bogennummer: '56527'
Ort: Grosswelka
Sprache: Sorbisch
Bogentyp: NMD_1879/80
Erhebung: ''
Transliterationsprojekt: Stone (2003)
Transliterent: Gerald Stone
Anmerkungen: ''
...
WS01	W zymje lĕtaja suche łopjena w lofće wokoło.
WS02	Wono zastanje hnydom snĕh hić, potom budźe lĕpše wjedro.
WS03	Čiń wuhlo do khachlow, zo so mloko póčnje warić.
WS04	Tón dobry stary muž je so z konjom na lodźe přepanył a do zymneje wody panył.
WS05	Wón je před štyrimi abo šĕsćimi njedźelemi wumrjeł.
WS06	Horcota bĕše pře wulka, teho dla bĕchu tykancy delkach cyle spaleny.
WS07	Wón jeja přeco bjez sele a popjera jĕ.
WS08	Nohi mje jara bola, ja sebi myslu, zo sym sebi je wobodrjeł.
WS09	Ja sym pola teje žony był, a sym jej to prajił, a wona rjekny, zo chce to tež swojej dźowcy prajić.
WS10	Ja to tež wjacy zaso ćinić njecham.
WS11	Ja će hnydom z mutylu za wuši prasnu ty wopica.
WS12	Hdźe dźeš? Dyrbimy z tobu hić?
WS13	Časy su hubjene.
WS14	Moje lube dźĕćo, wostań delkach stejo, te hrosne husy móhłe tebje zakusać.
WS15	Ty sy dzensa najwjacy nawuknył a sy dušny był, ty móžeš prjedy domoj hić hač ći druzy.
WS16	Ty hišće njejsy wulki dosć, zo by mohł blešu wina wupić, ty hišće dyrbiš kruch rosć.
WS17	Dźi, budź tak dobry a praj twojej sotře, zo dyrbi tu drastu za wašu maćeŕ hotowu zešić a ze šćĕtku wurjedźić.
WS18	Budźiši ty jeho znał, dha budźiše to hinik přišło a by <lj> lĕpje z nim stało.
WS19	Štó je mi mój korb z mjasom kranył?
WS20	Wón tak činješe, jako bychu jeho k móćenju skazali, woni su pak to sami sčinili.
WS21	Komu je wón tu nowu powjesć powjedał?
WS22	Dyrbi so <b> wótře wołać, hewak won <w>nas njerozymi.
WS23	My smy sprócni a lačni.
WS24	Jako wčera wječor domoj přińdźechmy, ležachu wšitcy druzy hižom w łožu a spachu.
WS25	Snĕh je zańdźenu noc pola nas ležo wostał, ale dźensa rano je zaso wotešoł.
WS26	Zady našeje khĕže steja tři rjany jabłunćinki z čerwjenymi jabłučkami.
WS27	Njemohli hišće khwilku na nas wočaknyć? My dźemy potom z wami.
WS28	Wy njedyrbiće tajke dźĕćinstwa hnać.
WS29	Naše hory njejsu <tak> jara wosoke, waše su wyšše.
WS30	Kak wjele puntow kołbasy a khlĕba chceće mĕć.
WS31	Ja was njerozymju, wo dyrbiće wotřišo ryčeć.
WS32	Njejsće kusk bĕłeho mydła za mnje na blidźe mamakali?
WS33	Jeho bratr chce sebi dwĕ rjanej nowej khĕži w wašej zahrodźe natwarić.
WS34	To słowo jemu wot wutroby přińdźe.
WS35	To bĕše prawje wot was.
WS36	Kajke tam małe ptački horkach na tej muričcy sedźa.
WS37	Burjo bĕchu pjeć wołow, dźewjeć kruwow a dwanaće wowckow před wjes přiwjedli, te chcychu woni předać.
WS38	Ludźo su dźensa wšitcy wonkach na poli a žnĕja.
WS39	Dźi jenož, bruny pos tebi ničo nječini.
WS40	Ja sym z tymi ludźimi tam zezady přez łuku do žita jĕł.
