---
Bogennummer: 56543
Ort: Sternalitz
Sprache: Polnisch
Bogentyp: NMD_1887
Erhebung: ''
Transliterationsprojekt: ''
Transliterent: ''
Anmerkungen: ''
...
WS01	Wzimie lata suche liście w powietrzu.
WS02	Zaraz pszestanie śnieg lecieć, potem będzie pięknie.
WS03	Daj wągle do pieca, żeby mleko zewrało.
WS04	Dobry stary chłop z kóniem się zarwał i do zimnéj wody wpadł.
WS05	On przed 4. albo 6. tygodniami umarł.
WS06	Ogien był za wielki, kołacz się na dole spalił.
WS07	On je jaja zawsze bez soli i pieprzu.
WS08	Nogi mnie bardzo bolą, myślę, iżech je sobie z mógł.
WS09	Byłem u panie i powiedziałem jéj, i ona rzekła, chcę córce powiedzieć.
WS10	Niechcę już też więcej tego czynić.
WS11	Piznę cię tą warzechą za uszy, ty małpo!
WS12	Gdzie idziesz, mamy z tobą iść?
WS13	Są złe czasy!
WS14	Moje miłe dziecię, zostań tu na dole, te złe gęsi by cię zażarły.
WS15	Tyś dzisiaj najlepiéj umiał i byłeś grzeczny, możesz rychléj do domu iść, juk drudzy.
WS16	Tyś jeszcze jest zamały, abyś szklonkę wina wypił, ty musisz jeszcze rość i większy bydź.
WS17	Idź, bądź tak dobry i powiedz twojéj siostrze, że miała waszéj matce szaty uszyć i je szczotką oczyścić.
WS18	Gdybyś go był znał! to by było inaczéj przyszło, i lepiéj by znim było.
WS19	Którz mi mój koszyk z mięsem ukradł?
WS20	On czynił, jak gdyby go do młócenia byli najęli; ale oni to by sami zrobili.
WS21	Komu rozprawiał tę nową historyją?
WS22	Musimy głośno wrzezczeć, boby nas nierozumiał.
WS23	Jesteśmy słabi i chce nam się pić.
WS24	Jak eśmy wczoraj wieczór nazad przyśli, leżeli ci drudzy już włóżku i spali mocno.
WS25	Snieg dzisiaj w nocy u nas został leżeć, ale rano stajał.
WS26	Za naszym domem stoją 3 piękne jabłońki z czerwionemi jabłkami.
WS27	Nie możecie trochę na nas czekać, potem pójdziemy z wami.
WS28	Nie możecie takiego dziecinstwa prowadzić.
WS29	Nasze góry nie są bardzo wysokie, wasze są wyższe.
WS30	Wiele funtów wórsztu i chleba chcecie mieć?
WS31	Nie rozumię was, musicie trochę głośniéj mówić.
WS32	Nie znaleźliście kąsek białego mydła dla mnie na moim stole.
WS33	Jego brat chce sobie dwa piękne nowe domy w waszym ogródku zbudować.
WS34	To słowo mu pszyszło ze serca.
WS35	To było prawie od nich!
WS36	Co to tam siedzą za ptaszęta wzgórę na murze?
WS37	Gbury przywiódłe 5 wołów i 9 krów i 12 owiec przed wieś, chciały je przedać.
WS38	Ludzie są dzisiaj wszyscy na polu i sieką.
WS39	Idź, tyn brunotny pies ci nic nie zrobi.
WS40	Wjechałem z tymi ludźmi po zadku przez łąkę do żyta.
