---
Bogennummer: 56698
Ort: Lubnia
Sprache: Kaschubisch
Bogentyp: NMD_1879/80
Erhebung: ''
Transliterationsprojekt: ''
Transliterent: ''
Anmerkungen: ''
...
WS01	W zymnie lotają suché listé w lufce.
WS02	Snieg przestanie zaroz padac, tedy będze znowu lepsze powietrze.
WS03	Włóż węgli w piecek, co sę wnet mléko zacznie gotowac.
WS04	Ten dobry stary mężczézna zarwoł sę na lodze i wpod wtę zęmną wodę.
WS05	On umar przed szterama abo széscama niedzelamy.
WS06	Odziń był za gorący kuch jest na dole spolóny.
WS07	On je jaja zawsze bez solé i pieprzu.
WS08	Nodzié mnie srodze bolą, myslę, ja je przebiegołem.
WS09	Byłem u ty kobieté i ji powiedzoł, a óna mówiła, że chcała swoi córce powiedzec.
WS10	Niechcę tego téż więcy robic.
WS11	Jo cę zaroz łéżką uderzę bez uszé, té małpo.
WS12	Gdze idzesz, mąmy isc z Tobą?
WS13	Léché są czasé.
WS14	Moje kochane dzecę, zostań tu na dole, te złe gęsé zażrą Cę.
WS15	Té żes sę dzys najwięcy uczył i béłes grzeczné, Ty możesz isc prędzy dodom jak Cy drudzé.
WS16	Té żes jeszczy niejest dosc dużé jednę flaszkę wina wépiec, Té muszysz jeszczy rosnąc i większy béc.
WS17	Idz, będz tak dobre i mów Twoi sostrze, óna miała te suknie dla waju matcié uszéc i szczotką je weczyscéc.
WS18	Żebys go býł znół tedé było bé inaczé przeszło i byłobé lepi [o] niego sę stało.
WS19	Kto mnie ukrod mój kosz z mięsęm?
WS20	On tak robił, jakbé oni go do draszowania obsztelowalé, ale oni to sami zrobiélé.
WS21	Kómu on tę nową Chystoryą powiadoł?
WS22	Muszy głosno wrzeszczéc, inaczy nos nierozómi.
WS23	Ma sa ustani i nąm sę chce pic.
WS24	Jak wczoraj wieczór nazód przészlim, to już cy drudzé leżelé w łóżku i bylé mocko zaspanié.
WS25	Snieg zostoł u naju tę noc leżec, ale dzis rano rozpuscył.
WS26	Za naju chałupą stoją trzé ładne jabłoneczcié z czerwónemy jabkamy.
WS27	Niemożeta wa jeszcze na naju mały chwiłcié czekac, tedé idzemy z wama.
WS28	Niemożeta tacich dzecynnoscy prowadzéc.
WS29	Naju goré niesą tak wésocié, waju są wiele wéższe.
WS30	Wiele fuńtów wórszté i wiele chleba chceta miec.
WS31	Jo nierozómiem waju, wa muszyta troszkę głosni godac.
WS32	Nieznalezlista wa kawałka białego médła dla mnie na moim stole?
WS33	Jego brat chce sobie dwa ładne nowe budyncié we waju ogrodze budowac.
WS34	To słowo przészło jemu od serca!
WS35	To béło prawnie od nich!
WS36	Jacie to tam ptoché sedzą na tym murku?
WS37	Te gburé weprowadzylé pięc wołów i dzewięc krowów i dwanósce owiec przed wies, które chcelé sprzedac.
WS38	Ludze są dzysoj wszéscé na polu i seką.
WS39	Idz jano, tęn bruny pies Cy nic niezrobi.
WS40	Jo z tymy ludzamy jechoł tam w tele bez łakę w żéto.
