---
Bogennummer: 56699
Ort: Wildau
Sprache: Kaschubisch
Bogentyp: NMD_1879/80
Erhebung: ''
Transliterationsprojekt: Popowska-Taborska & Rzetelska-Feleszko <(2009)>
Transliterent: Hanna Popowska-Taborska, Ewa Rzetelska-Feleszko
Anmerkungen: ''
...
WS01	W zimie letą suche listy bez powietrze.
WS02	Przestanie zaraz śnieg padać, wtedy będzie powietrze znowu lepsze.
WS03	Włóż węglów w piec, aby się mleko wnet gotować zaczeno.
WS04	Dobry stary chłop włamał się przez lód z koniem i wpad w zimną wodę.
WS05	On przed czteroma abo sześcioma tygodniamy umarł.
WS06	Odzień był zagorący, kóchy są nadole decht czorno spolone.
WS07	On je jaja zawsze bez solé i pieprzu.
WS08	Nogi mnie bardzo bolą, ja wierzę, ja je przeleciałem.
WS09	Byłem u kobiety i to mówiłem i, a ona mówiła, ona chciała to i swojéj <(swoi)> corce mowić.
WS10	Ja już tego więcy niechce zrobić!
WS11	Ja Cię trzasne zaraz z warząchfią w uszy <(w pėsk)> tė małpo!
WS12	Gdze Té idzesz, mómé mé z Tobą isc?
WS13	Są léche czasé!
WS14	Moje kochane dzecie, zostoń tu na dole stoic, złe gesy Ce zagrézą.
WS15	Te żeś się dziś najwięcy nauczył i béłesz grzecné, Ty mozesz prendzy dodom isć, niż czy dródzy.
WS16	Te jeszcze nie jest dość dóży, abyś szklónkę wina wypioł, muszyś jeszcze sztukę urość i większy się zrobić.
WS17	Idz, bądz tak dobré a mów Twoji siostrze, ona ma suknié dla waszy matki fertig uszyć i ze szczotką wyczyścic.
WS18	Byłbyś Ty go znał, wtedy by to beło inaczy znim przysło i stojało by znim lepi.
WS19	Kto mi mój kosz z mięsem ukrat!
WS20	On tak zrobił, jakby oni go do draszowania zaproszyli, oni to ale sami zrobili.
WS21	Komu on te nowe chystorię opowiedział?
WS22	Muszy głóśno krzyczyć, boby on nam nie rozumniał.
WS23	Jesteśmy zmęczeni i mamy pragnienie.
WS24	Jak żeśmy wczoraj wieczor do dom przyśli, to leżeli ci drudzy już włożku i byli mocko przy spaniu.
WS25	Śnieg dzieisejszej nocy unas został leżyć, ale dzisiaj rano już stopiaj.
WS26	Za naszem domem stoją trzé piękne jabłoneczki z czerwonemy jabłuszkamy.
WS27	Niemożeta wa jeszcze zdziebło na nas czekać, wtedy pudzim zwamy.
WS28	Wa niemata tacie głópstwa prowadzić.
WS29	Nasze góry nie są tak bardzo wysocie, waju są wiele wyższe.
WS30	Jak wiele wórszty i jak wiele chleba wa chceta miec?
WS31	Ja wama nierozomnie, wa mószyta troszkę głosniej gadac.
WS32	Nieznaleźli wa żadnego kawałka białego medła dla mnie mojem stole?
WS33	Jego brat chce sobie dwia piękne nowe domy we waju sadze budowac.
WS34	To słowo przészło mu od serca!
WS35	To było dobrze od nich!
WS36	Co to siedzą za ptoście tam ugóry na tem murku?
WS37	Gbury przyprowadzili pięć wołów i dziewięc krowów i dwanaście owców przed wioskę, oni je chcieli sprzedać.
WS38	Ludzie są dzisiaj wszystkie na polu i sieką.
WS39	Idz leno, bruny pies Tobie nic niezrobi.
WS40	Ja jechałem zludziamy przez łąkę tam wtyle w zboże.
