---
Bogennummer: 56782
Ort: Gnesdau
Sprache: Kaschubisch
Bogentyp: NMD_1879/80
Erhebung: ''
Transliterationsprojekt: Popowska-Taborska & Rzetelska-Feleszko (2009)
Transliterent: Hanna Popowska-Taborska, Ewa Rzetelska-Feleszko
Anmerkungen: ''
...
WS01	W zėmie lecą seché leste w powietrzu.
WS02	To przestonie zaroz sniég padac, tej bądze lepsze wiodro.
WS03	Wloże węgle wpiéck, co mlèko wnet pocznie zawrzec.
WS04	Ten dobry, story chlop z końię przez lot wzemną łedę wpod.
WS05	On umarl przed szterema, abo szesc tydzeńiami.
WS06	Ten ogien bel zagorąci, te kuche są nadole czorno przepolone.
WS07	On jé jaja bez sole e pieprze.
WS08	Noge mie bardzo bolą, wierzę, żę mąm je przebiegone.
WS09	Jo bel u tej bjolki i powiedzel jÿ, a ona mie rzekla, żebe to swojÿ corce też powiedzala.
WS10	Jo niechcę teło wici robic!
WS11	Jo trzasnę cebie tą korzkwią zaróz włeb, te mełpa!
WS12	Gdzeż te idzesz, mąme me z tobą idz?
WS13	To są leche czase!
WS14	Moje dzecko, będze tu nadole, bo te złe gęse cebie ugrezą.
WS15	Te dzis nowici sę nauczéł a bel nospokojnejszy, te możesz rechli do dom jdz jak tÿ jnszy.
WS16	Te jesz nie jes dosc wielgi flaszę wjÿna do wepjico, te jesz muszÿsz konc urosc e wjikszy bedz.
WS17	Bjoj, będze tak dobrÿ a rzecze twoji sotrze, ona mo te kleide dla swojej matki uszec a szotką weczeszczec.
WS18	Czebbe te łe znoł! tej to be jinaczej przeszło, a to be bello lepjÿ do nieło.
WS19	Ktesz mie moj kosz zmiesę ukrod?
WS20	On tak zrobił jakbe on bel do draszowanio opsztelowóny: ale ońi to sami zrobjili.
WS21	Komu on tę nowę chystorię powiodel.
WS22	Muszy glosno wrzeszczec, bo on nas nierozmjeje.
WS23	Me jesme médech, a nąm chce sę pic.
WS24	Jak me wczero wieczor dodom przeszle, leżele ty jynszy wlożku, a mocno spale.
WS25	Sniég ty noce łestèl leżąc, a dzis poreno bel rostopiali.
WS26	Za naszèm domę stoją trze jabłonki z czerwjoneme jabkame.
WS27	Czebbe wa na nas porę okagmnia żdala, tej me be szla zwama.
WS28	Wa niemota takich dzecinstwow robic.
WS29	Nasze góre nie są tak bardzo wesokie, te waju są wiele wesze.
WS30	Wiele puntow kolbose e wiele chleba chceta miec?
WS31	Jo waju nierozmjeję, wa muszyta troszkę glosńi gadac.
WS32	Wa doch molèło kąska bjoleło medla na mojem stole nienalazla?
WS33	Jeło brat chce sobie dwa snoże nowe dome we wajem ogrodze zbudowac.
WS34	To slowo przeszlo mu ze serca!
WS35	To belo decht prosto od was!
WS36	Ceż tamo za ptoszki u góre na murze sedzą?
WS37	Ty gburze miele pjync łolow, e dzewinc krów, e dwanosce owieczk do wse przeprowadzone, abe bele przedone.
WS38	Ty ledze są dzis wszetci buten na polu a seką.
WS39	Bjejle, ten bruny pies tobie nic niezrobji.
WS40	Jo stemi ledzame od hinde po łące w zboże jachol.
