---
Bogennummer: 56784
Ort: Sellistrau
Sprache: Kaschubisch
Bogentyp: NMD_1879/80
Erhebung: ''
Transliterationsprojekt: ''
Transliterent: ''
Anmerkungen: ''
...
WS01	Wzemie lótaio seche leste w lefce.
WS02	Snėg przestonie wnet padac, po temu bódze lepsze wiodro.
WS03	Włoże węgłow w pieć, co to mleko wnet zawro.
WS04	Ten story dobry chłop z konię przez lot złomił a wzemno wodę wpod.
WS05	On przed szterzema abo szesc niedzielmy pomar.
WS06	Ten ogin beł za gorócy, te kuche se na węgel spolone!
WS07	On te jaja wiedno bez pieprze e bez sole je.
WS08	Nogy mie bardzo boló, io meszlę, ze one so od bieganio bolóce.
WS09	Io u te białky był, a jem ji to rzek, a ona rzekla, że to chciało swoje corce powiedzec.
WS10	Io tėż teho wgici nie chcę zrobyic.
WS11	Io tobie to kórszkwio zaroz za usze we nie[???], te małpo!
WS12	Dzesz te gidzesz, mome me ztobo gic!
WS13	To so leche szase.
WS14	Moje kochane dzėcę, ostani tu w dole, te zle gęse ciebie urźo.
WS15	Te się dzis no wgicy uczel, a jes beł urtig, to tez mozesz rechli do dom gic jak ty dregi.
WS16	Te jesz nie jeś dosz wielgi, zebe jes sklonkę wina wepieł, te muszisz jesz wgikszy urosz.
WS17	Bioi, będze tak dobry, a rzeczy twogi sestrze, ona mę te klede dlo wagi nenki uszec a je barszto weczeszczec.
WS18	Żebe te go znoł! tebe to się inaczy stało, a znim be lepi stojało.
WS19	Ktez mie moj kosz z mięsę ukrot!
WS20	On tak robył jak be oni go miele do draschowanię sztelowone; oni to samy zrzobole.
WS21	Komuż on tę nowo geschichtę powiędęł?
WS22	To muszy głosno wrzescec, bo on nom nierozmieje.
WS23	Me jesmi medech, a nom się chce pic.
WS24	Cze me wczorę wieczór nazod się ziawile, leżele ty iny włozku a mocno spale.
WS25	Sneg te noce u nas ostęł leżoce, ale dzys porene on zmyk.
WS26	Za naszemy checzamy stojo trze piękne jabłonki z czerwionemy jabłuszkamy.
WS27	Możeta wa jesz chwilę za namy zdac, te me pudzeme z wama.
WS28	Wa tak bele co nie muszita robic.
WS29	Nasze gore nie so barzo wesokie, waji so wiele weszsze.
WS30	Wielez puntow worsztow (kąłbąs) wa chceta a wielez brotow?
WS31	Io wama nie rozmieję, muszyta troszke glosni gadac.
WS32	Nie nalazła wa steczka bioleo medla dlo mie na moim stole?
WS33	Ieo brat chce sobie dwa piekne nowe dome we waim ogrodze budowac.
WS34	To słowo mu od serca pochodzi!
WS35	To od was belo prosto.
WS36	Cez tam za ptoczki sedzo u gore na murku!
WS37	Gburze przeprowadzele pic wołow edzewic krow e dwanosce owieczk przed wies, te ony chcele przedac.
WS38	Ty ledze so dzys wszeszce na polu a seko.
WS39	Bioj le, ten bruny pies tobie nic niezrobi.
WS40	Io ztemy ledzamy tam ze wslade po lące wzboże jachoł.
