---
Bogennummer: 55818
Ort: Gowidlino
Sprache: Kaschubisch
Bogentyp: NMD_1887
Erhebung: ''
Transliterationsprojekt: Popowska-Taborska & Rzetelska-Feleszko <(2009)>
Transliterent: Hanna Popowska-Taborska, Ewa Rzetelska-Feleszko
Anmerkungen: ''
...
WS01	W zemie låcȯ såchy Loste bez låft.
WS02	To zaras oprzestanie sniek padac, le bandze pogoda snowo lepsza.
WS03	Wrzuc wangle w piec, co bi sa mlėko zaczyło gotowac.
WS04	Ten dobri stary chȯb jest s kȯniem bez lót pozerwane i w potl zomni woda.
WS05	On umarł przed sztery lub szesc tygodniami.
WS06	Ogien był za gorąci, Kuchi w dole czysto spalóni.
WS07	On jéj te 'gaije bez soli i pieprzu.
WS08	Nogi mie bardzo boló, ja mýsle, ze ja sie ji przebiegał.
WS09	Ja był u ty białka i to ji mówił.
WS10	
WS11	Jo ca zaras dóm z woszkó za uszami ty małpa.
WS12	Gdze ty idzesz, móme me s tobą ġiesz.
WS13	To są lächy czasy.
WS14	Moją kochani dzecko ostań tu w dole stoyc, gasi cie ugrzesó.
WS15	Te dzis nowiance sa nauczał i biłes grzeczne, te możesz dodom gisc stymi drugimi.
WS16	Te nie gesz geszcze dosz duzy, szklónka wina pic, te muszysz jeszcze kawałk rosnąc i wianksze byc.
WS17	Idz, bands tak dobri i mów twoje sostri, ona ma ty rupiece dlo twoji matka uszyc i sczotko czysti zrobic.
WS18	Zebys te go poznał tebi to inaczy bo pszysły i to bo o nim bo lepsze stojało.
WS19	Kto mie moja Kosz z miasem ukrad.
WS20	On tak robjł, jakobi oni go do draszowania miele obsztelowani, oni to ale nie sami robile.
WS21	Komu on tå nowó history powiedzał?
WS22	Me musimi głosno wrzeszczyc bo oni nas nie rozmiół.
WS23	Me jesme ustanie a nóm sa chce pic.
WS24	Jak me w czora wieczór nazat przysły, to te drugi już lezyly wószku i byłi usnanti.
WS25	Sniek ten noc u naz ostał lezyc, ale dzis rano on je stopione.
WS26	Za naszem budinku stoją trzy pienkny jabłonki z czerwonami Jabki.
WS27	Nie możeta jeszcze chwileczka na nas czekac, te me pudzemi z wami.
WS28	Wa nie muszyta takie dziecinstwo pandzic.
WS29	Nasze góre nie są bardzo wesokj, wasze są wyszy.
WS30	Wiele funti worszte i wiele chlėb chceta miec.
WS31	Nie rozumie wam, musita kosink głosni mowic.
WS32	Nie mata wa stek biały mådło dla mie na stole nalesony.
WS33	Jego brat sa chce dwa piankne budinczy w waszem ogrod budowac.
WS34	Słowo mu przyszedł z serca.
WS35	To bo recht od was.
WS36	Co tam siedzo za ptaszki na murze.
WS37	Gburze miele pianc Włełe i dzewianc Krów i dwanastce owieczczy pred wies przinosły, oni ti chcely pszedac.
WS38	Ludza są dzies buten na pole i såko.
WS39	Jidz, ten bruny piés ciebie niec nie zrobie.
WS40	Ja był tam z ladzami wtyle bes wonki w zbozy jechooni.
