---
Bogennummer: 55819
Ort: Mischischewitz
Sprache: Kaschubisch
Bogentyp: NMD_1887
Erhebung: ''
Transliterationsprojekt: ''
Transliterent: ''
Anmerkungen: ''
...
WS01	Wzimie letzo suche Listi wluftce.
WS02	To oprzestanie sniezec a w tede bandze lepsa pogoda.
WS03	Wrzuc wangle w piec co sa zaczynie mleko gotowac.
WS04	Ten dobry stari chlop z konia sa pres lod prelomol i w zimnu woda pod.
WS05	On jest przed cterema albo 6 tigodniami umarli.
WS06	Ogiń bil za wielki a Kuchi sa czysto czorni zrobili.
WS07	On je Jaja wiedno bes soli i pieprzu.
WS08	Nogi mie [zede] bolo ja misle je przebiegone miec.
WS09	Jo bil u tej Kobieti i to mowil a ono mowila ze chcla to corce mowic.
WS10	Jo to nie chco wianci cinic.
WS11	Jo ca wnet zwarzuchwio no usche dem te molupo!
WS12	Gdzes te idzes. mom jo z toba isc?
WS13	To so liche czase.
WS14	Moje mile dziecko oztan tu w dole stojec te zli ganse cazagreso ca.
WS15	Te sa dzisa najwianci uczil teres idz prandzi dodom jak te inni.
WS16	Te nie jestes jesce duzi abi flaschka Wina <nieczytelne> te musis coli[?] urosc.
WS17	Id band tak dobri i mow twoje siostrze ona ma te suknie dla waszej matki uszic i ze scotka czysto zrobic.
WS18	Zebis te go znol tede to be inaczej przislo i be znim inaczej przislo.
WS19	Kto mie moj Kosch zmiasa ukrod.
WS20	On tak robil jak jako be ona ich do draszowania obstelowal a on to sam zrobil.
WS21	Komu on powiodo ta nowa chistoria?
WS22	Musi glosno wrescec bo tak on nierozumie nic.
WS23	Me jesme umanczoni i mami pragnienie.
WS24	Jak me wczora na wieczor nazat przisli tede lezeli te drugi wlosku i mocno spali.
WS25	Ten snieg dzisiejszi noci zostal lezonc ale dzis rano on ztajel.
WS26	Ztilu naszego budinku stojo trze jablonki z czerwonemi jabkami.
WS27	Niemoglisce nas czekac tede mi bi sli zwami.
WS28	Wa niemusita tak sa stelowac jak bi wi bili dzieci.
WS29	Nase gori ne so wisoke wasze sa wiele wisze.
WS30	Wiele wursti i wiele chleba wi chcieta miec.
WS31	Ja was nie rozumia wi musita konsk glosni gadac.
WS32	Nie mace wi kawalek bialego midla na mojem stole znalezone.
WS33	Jego Brat chce sa dwa nowe budinki we waszem ogrodze budowac.
WS34	To slowo przislo jemu ze serca.
WS35	To bylo dobrze od nich.
WS36	Co tam sedzu za piankni ptaski na tem murku?
WS37	Gburzy przyprowadzili pianc wolow i dziewianc Krowow i dwanasce Owieckow przed wies i chco je przedac.
WS38	Te ludze so dziso wszistke na dworze w polu i sieko.
WS39	Jdz jeno ten szari pies tobie nic nie zrobi.
WS40	Ja jechal ztemi ludzami przes lonke wzito.
