---
Bogennummer: 55826
Ort: Klukowahutta
Sprache: Kaschubisch
Bogentyp: NMD_1887
Erhebung: ''
Transliterationsprojekt: Popowska-Taborska & Rzetelska-Feleszko (2009)
Transliterent: Hanna Popowska-Taborska, Ewa Rzetelska-Feleszko
Anmerkungen: ''
...
WS01	Vzimje lecę Listri wlifce.
WS02	Kedi Snegu nebundze tedi bandze Powestrze lepszi.
WS03	Fsip Wanglof w Piec cobi Mleko wnet zacało się gostowac.
WS04	Ten dobri stari chłop iest zeswoim Konem w Lot zarwani iwtę zimnę Wodę fpadłu.
WS05	On jest przet sztirzema albo szestc niedsete ma umarui.
WS06	Ten Ogiń bił zagorunci te Kuchi sę wdole cisto carno spaloni.
WS07	On je te Jaja wiedno bes Soli ibes pieprza.
WS08	Nogi bolo mie barczo ja wierzę ja sobie mam je przebiegani.
WS09	Ja biłu u Znoni i mowi i a ona rzekła ona chcała to swoi Corc mowitz.
WS10	Ja to niechcę tesz wianci cinic.
WS11	Ja cię zarasuderzę to warzich wię po uszach ti Małpo.
WS12	Gdze ti jidzesz mami mi stobo Jisc?
WS13	To sę lichi luse!
WS14	Moje miłu Dzecę ostań tu stoionc te złe Gą si bi cię uzarły.
WS15	Ti się dzisa nalepiucił i bił jes pilni Ti możesz prandzi do domu jsc jak ti drugi.
WS16	Ti nejes jeszc dosc wialgi iednę Schlonka Wina winpic ti muszisz ti musz ieszczi do konca rosc i ieszc wiankszi bic.
WS17	Jic i banc tak dobri i rze twoi Sostrze ona ma Oblecęne dla wai Matki uszic i [Schcocę] wiacszic.
WS18	Nimok ti bi goboznac te bito biło jnaci prziszo i lepi wkoł neg stoiec.
WS19	Kto nie ieden Kosz z Miamsem ukrad?
WS20	On ucinił to kedi oni jego do drasz owa [brzim uszali] oni allá onó to samy ucinili.
WS21	Komu on ma iednę Christorię bowiedzec.
WS22	Mi muszi mi głosno wrzesz [ęec] bo tedi nih tego nĕrozmi.
WS23	Mi iesmi głodni i pragnemi.
WS24	Kedi mi w czora dodom prziszli, tedrugi bili w oszku i spali.
WS25	Snieg porano prziszed i jutro się rostopił.
WS26	Przi naszim Budinku stojo trzi ładne Jabonki na ktorich czerwone jabka rosną.
WS27	Nimożece namię konsek czekac to ja pude zwami.
WS28	Wi nie drarwace takich dzecinnie aktow miec.
WS29	Nasze Hori niesą tak wisoke, wasze są wiele wiszsze.
WS30	Wiele Kełbasow i wiele chleba chcece miiec.
WS31	Ja nierozumię nic wi muszice głosni Hadac.
WS32	Mienalazli wi kawałek białego Midła.
WS33	Jego Brat sobie chce dwa ładme Budinke wnaszim sadze probudowac.
WS34	To Słowo prziszlo serca.
WS35	To nie biło od nich.
WS36	Co tam za Ptaszki sedzą na tim Drzewiotku.
WS37	Ten Gbur brziprowadził pięnc Woow, dzuwięnc krow dwanasce owiec toon chcał przedac.
WS38	Te Ludze są wszistke na Polu i seka.
WS39	Jic ten bruni Piesce nic niezrobi.
WS40	Ja stemi Ludzami jechał za łąnke.
