---
Bogennummer: 55827
Ort: Skorzewo
Sprache: Kaschubisch
Bogentyp: NMD_1887
Erhebung: ''
Transliterationsprojekt: Popowska-Taborska & Rzetelska-Feleszko <(2009)>
Transliterent: Hanna Popowska-Taborska, Ewa Rzetelska-Feleszko
Anmerkungen: ''
...
WS01	W zemnie lotajo suchy lyste bes luft.
WS02	Smieg oprzestanie zaro padac, tede będze znowu dobro pogoda.
WS03	Włosch wpieck węgly, co się będze zaro mleko zaczynało gotowac.
WS04	Ten dobry stari chłop je stym koniem przez lod włomany i wtę zemną wodę wpadły.
WS05	On je przed schterema abo przed szesc tygodniamy umarły.
WS06	Ten odżin beł za gorący, te kuche są wdole czesto czorno spolony.
WS07	On je te jaja wiedno bes soly i bes pieprzu.
WS08	Te nodzy mnie bardzo bolą, jo wierzę, jo je mom przebiegły.
WS09	Jo beł prze ty kobiece i to i mowił, i ona rzekła, ona chcała to tesch swoi corce mowic.
WS10	Jo to niechcę tesch ju więcy znowu zrobic!
WS11	Jo cę uderza zaro tą warzuchwią za usche, te maupo!
WS12	Gdze te idzesch, chcesch te że me stobą mąme iscz.
WS13	To są lichi czase!
WS14	Moje kochani dzecko, stuj tu wdole, te złi gęse cę uzrą.
WS15	Te sę dzisą nowięci nauczeł i bełes grzecznym, te możesch wczesni do dom isc jak ty drudze.
WS16	Te jesch dosc duży niejes, żebe te jedna schklonka wina wepieł, te muschysch jeschce jeden koniec rosc i większy bec.
WS17	Bie, bęc tak dobry i mow twoji sostrze, ona mo te ruchna dlo i matczy uschec i stą schczotką czesto zrobic.
WS18	Beł be te go poznął! tede to be beło inaczy przeschło, i to be beło lepi wkoło niego stojało.
WS19	Chto mnie ten moj kosch stym mięsem ukrot?
WS20	On tak robieł, jakbe oni go miely do draszowaniu schtelowany; oni to ale samy zrobily.
WS21	Komu on tę nową chystoriją powiedzȯł?
WS22	To muszy głosny wrzeschczec, bo tak me sę nierozumieme.
WS23	Me jesme ustany i mome pragnienie.
WS24	Jak me wczora wieczor na zod przeschly, tede ju te drudzi włoschku leżely i mocno byly zaspany.
WS25	Ten smieg je wty noce prze nas ostany, ale dziso reno on je rostajani.
WS26	Za naschym budynczem stoją trze ładny jabłonczy zczerwonemy japkamy.
WS27	Niemożece jeschcze jedna chwileczka za namy czekac, tede me zwama pudzeme.
WS28	We niepotrzebujece taky dzecinne zabawy prowadzic.
WS29	Nasze gore nie są bardzo wesoczy, te waju są wiele weschschy.
WS30	Wiele funtow wurzty i wiele chleba chcece miec?
WS31	Jo nierozymiem wom, we muschyce zdebło glosny gadac.
WS32	Moce we żąden kawałk biołego medła dlo mnie na moim stole nalazły.
WS33	Jego brat chce sobie dwa piękny nowy budynczy we waschym ogrodze postawic.
WS34	To słowo przeschło mu ze serca!
WS35	To beło dobrze od was!
WS36	Co tam sedzą za ptaschczy wgorze na tym murze?
WS37	Te gburze miely pięc wołow i dzewiec krow i dwanosce owieczkow za wies weprowadzony, te oni chceli przedac.
WS38	Te ludze są dzisą wszesce na polu i seczą.
WS39	Bie le, ten bruni pies tobie nic nie zrobi.
WS40	Jo jem ztymy ludzamy tam slode przes tę łokę wzboże wjachany.
