---
Bogennummer: 56861
Ort: Gross Lehwalde
Sprache: Polnisch
Bogentyp: NMD_1879/80
Erhebung: ''
Transliterationsprojekt: Syntaxauswertung Fleischer
Transliterent: Sara Hayden
Anmerkungen: ''
...
WS01	Wzime furaio suche listi wpowietrzu.
WS02	Zara ustanie snieg padać, potiem będzie powietrze znowu lepsie.
WS03	Włoź węgli wpiec, co sie mleko zacznie gotować.
WS04	Ten dobri stari mąz zkoniem sie na lodzie włamał y wzimno wode wleczał.
WS05	On przed steri abo sesc tigodni umarł.
WS06	Ogień buł za gorący, kuchi sie nisko dicht czarno spaliłé.
WS07	On iada iaika zawdi bez soli i pieprzu.
WS08	Nogi me bardzo bolo, uwazam ia ie przebrał.
WS09	Ia buł u tey kobieti y mowiałem iey to, y ona mowiła, co chce tez y iey corce to mowić.
WS10	Ja niechce tego więcey czinić.
WS11	Ja cie rzne zaraz warzuchsio bez uszi, ty małpo!
WS12	Keni idzies, mawa my ztobo isć?
WS13	Liche casy so.
WS14	Miłe dziecko zostań tu nisko stoicz, tezłe gęsi cie zazro.
WS15	Tyś dzisiay naywięcy łuczuł i bułes stateczny, ty mozesz prędzi do dom isc iak te druge
WS16	Tiś iescze nie duzi dosc, flaske wina wypic, ty musziś iescze kawałek rosnąc i wiekszi być.
WS17	Jdz, bądz taki dobri a mow twoiey siostrze, co oblecenie przed twoio matke usziye i sczotko wyczesze.
WS18	Kebysti go nie znał, to by lepsi było, i znim by lepsi było.
WS19	Kto my moi kosz z niesem ukrad?
WS20	On tak robiuł, iak by oni go do draszowania opstalowali: oni ale sani to zrobili.
WS21	Komu on te nowo powiastkie powiedał?
WS22	Trzeba głosno wrzesciec, bo on nam nie rozumie.
WS23	My zmordowane, i mawa pragniączkie.
WS24	Jak my wczoray na wieczor nazad przisli, to te drugie iuz lezeli y twardo spali.
WS25	Snieg wte noc u nas został lezecz, ale dzisz reno zginoł.
WS26	Za naszem domem stoio trzi piękne iebłoneczki z czerwoneni iebluskani.
WS27	Niemoglibysta iescze troche na nas czekać, to pudziem zwani.
WS28	Nie muszita takich dzecinskich rzeczi czinić.
WS29	Nasze gori nie są mocno wysokie, wasze są wiele wyssze.
WS30	Wiele Kiełbasy i wiele chleba chceta wy mieć?
WS31	Ia wam nie rozumne, muszicie troche głośni gadać.
WS32	Nie nalezista wy kawałka białego mydła dla mie na moim stole.
WS33	Jego brat chce sobie dwa piękne nowe domy w waszem ogrodzie budowac.
WS34	To słowo wyszło mu zserca.
WS35	To było prawie od nich.
WS36	Co tam za ptaszki siedzo wysoko na murku.
WS37	Gburi pięć wołow i dziewięc krow i dwanascie owieczkow przed wies prziprowadzili i chcieli ie przedac.
WS38	Ludzie są dziszay wsziscy na polu i sieko. 
WS39	Idz eno ten bronatny czi nic nie zrobi.
WS40	Ja zludzani tam wtile bez łąke wzito wiechał.
