---
Bogennummer: 56903
Ort: Zawoyken
Sprache: Polnisch
Bogentyp: NMD_1879/80
Erhebung: ''
Transliterationsprojekt: Syntaxauswertung Fleischer
Transliterent: Sara Hayden
Anmerkungen: ''
...
WS01	Wzime furaio te suche Liścze w Powietrzu.
WS02	Poczina zaras nato padacz, to bendzie znowui lepei.
WS03	Wsyp Wengly w Piecz, co Mleko wnet warzicz bendzie.
WS04	Ten dobri stari Chłop iest stem Koniem bez Lod werwał wto zimnio Wode wleczał.
WS05	On jest przed steroma abo sisźoma Niedzelamni umarłi.
WS06	Ten Ogeń buł zagonozy, te Kołace so niesko cala spalone.
WS07	On jje Jajka safse bes Soli i bes Pieprzu.
WS08	Nogi mie bolo mocno, ja wieczerzam ja je przeleczuł.
WS09	Ja u Białki buł i m jei mowjił, a ona mowjiła ona chczała swojei Zorce mowiez.
WS10	Ja tes to jus nieche srobiecz.
WS11	Ja rzne cze Warzonchscho bes Usy ti Małpo.
WS12	Gdzes ti idzes, mami mi stobo ischt?
WS13	So liche Zasy.
WS14	Moje mniłe Dzecko, ostań tu nisko stojecz, te słe Geńsi pokonsajo cze na Schmiercz.
WS15	Tisch dzisai naiwienci se ucuł i iest tes cichi, ti moses prenci do domu isc jak ofci.
WS16	Tis jest esce nie duzi dosz jeno Butelke Wina wipiecz to nuisiz esce kawałek rosnonc as ienksi bendies. 
WS17	Idz, bondz taki dobri i mow twojei Schostrze, ona te Przyodzeńe dla wascy Matki usicz ma, i Scotko ocesacz.
WS18	Kebis ti go snał, to bi biło ienaci przisło i cinił lepiei sa nego stojedz.
WS19	Kto mi moi Kos s Niensem ukrat.
WS20	On ucinił tak iek bi go do Młocina optsalowali oni maili[?] sani srobizc.
WS21	Komu on to nowo Przepowiastke powiedzał.
WS22	Musis głosno krzicicz, bo on nama nie rosumnie.
WS23	Mi so utrudzone i pizs nam ze chce.
WS24	Jak mi wcorai Wiecor nazad przi[?]li, to ius ofci w Łosu leseli i bili mocno we spiku.
WS25	Smiek to Noc u nas ostał lesis ale dzisai Reno sneuk.
WS26	Za noso isbo stoio trzi pienkne Jabłonki s cerwoniemni Japkami.
WS27	Zi ni moseta esce jadne Ocamnińe na nas cekać, to mi saras pudzim.
WS28	Wie mi mata take Dzecinstwa prowadzic.
WS29	Nase Gori nie so larsdo wisoke, wase daleko wisse.
WS30	Ziła Funtow Kełbasow i Chleba chceta wi.
WS31	Ja was nierosunie, wie musice troske głoschni godac.
WS32	Ni nalesli wista kawałek białego Midła dla mie na stole.
WS33	Jego Brat chce sobie dwa pienkne nowe Budinki w wasem Ogrodze postawiz
WS34	Te Słowo przysło mu s Serca.
WS35	To biło dobrze od wasci.
WS36	Co tam sa Ptaski seco wisoko na Murku.
WS37	Gburi mniałi pienc Wołow dzewiens Krowow i dwanasce Owietykow przed w Lo[?] i chcałi ie przedadc.
WS38	Ludze so wsissi dzisai na Pol[u] i Trawe sieko.
WS39	Ic tilo, ten bronatni Pies tobie nic nie srobie.
WS40	Ja steni Ludzamni tam w tile bes Łonke w Sito wiechał.
