---
Bogennummer: 56953
Ort: Baranowen
Sprache: Polnisch
Bogentyp: NMD_1879/80
Erhebung: ''
Transliterationsprojekt: Syntaxauswertung Fleischer
Transliterent: Sara Hayden
Anmerkungen: ''
...
WS01	W zima latayo suche lyscie w powierzu
WS02	Ono przestanie zaras kurzec tedy będzie powietrze znowu lepse.
WS03	Włos wenglow w piec, ze Mleko wnet sie zagotuie.
WS04	Ten dobry stary chłop włamał sie i przysedł po Lot.
WS05	Przed 4 albo 6 niedziel umer on.
WS06	Piec był za goroncy to kołac as scarniał
WS07	On je Jaika przes soli i Pieprzu
WS08	Nogy mie bardzo bolą ia mysle zem ie oddłabizy.
WS09	Ja buł kole niewiasty im jey mowieł i ona mowiła ona chce swoiey corce mowiec.
WS10	Ja wiencey tego nie bęnde cynił.
WS11	Dostanies łysko bes Usy ty Małpo.
WS12	Gdzys idzes, mamy stobą isc.
WS13	Ono so lyche casy.
WS14	Moie miłe dzecko zostań tu nisko stoiec bo cie Gensy pokąnsaio.
WS15	Tys sie dzys naylepiey wyucł, pudzes pręndzey do domu
WS16	Tys nie iest dusy dosc butelke Wyna wypieć.
WS17	Jc mow twoyey siostzze ona miała odzenie dla malki zrobiec, i scotko wycesac
WS18	Kebys go znał, to by było lepiey z niem.
WS19	Kto mie moy koś z niensem ukrat.
WS20	On zrobył tak, iakby go do młocenia obstalowaly, ony ale sany srobyli.
WS21	Komu on to nowo historio powiedzał.
WS22	Wolay głosno bo nie rozumieie.
WS23	My so słabe, to mamy pragnioncke.
WS24	Ja my wsory przysly to druge ius spaly.
WS25	Dzys tey nocy sniek u nas lezał, ale dzys rano sie rostopiuł.
WS26	Za nasem Domem stoyą trzy pienkne Jebłonki.
WS27	Niemozeta iesze Okamgnienia na nas cekac to tes pudzim
WS28	Nie bądz dzieckiem.
WS29	Nase gorynie wyske wase so wyse.
WS30	Siła futow kełbassy i siła chleba chceta niec.
WS31	Ja wam nierozumieie musyta trocha głosniey gadac.
WS32	Nie znaleslysta kawałek białego Mydła na stoliku dla mie.
WS33	Jego brat chce sobie dwa pienkne nowe Domy w wasem Ogrodze budowac.
WS34	Słowo mu przysło od serca
WS35	To było prawie od niego
WS36	Czo siedzo za ptaski u gory na murze.
WS37	Gbur miał pienc Wołow y dzienc krowow i dwanascie Owcow przd Wies przygnac i przdac.
WS38	Ludzę so wsyscy na polu i sieko
WS39	Jc bronatny Pies tobie nic nie zroby.
WS40	Ja w tyle steny Ludzamy bes łonke w zyto pojechał.
