---
Bogennummer: 57406
Ort: Ludom Dombrowka (Dabrowka Ludomska)
Sprache: Polnisch
Bogentyp: NMD_1879/80
Erhebung: ''
Transliterationsprojekt: Syntaxauswertung Fleischer
Transliterent: Sara Hayden
Anmerkungen: ''
...
WS01	Zimąm latoł suche liście w powietrzu.
WS02	Przestanie zaroz śniek padać, potém bydzie lepsza pogoda.
WS03	Włoż węglo do pieca, aby sie mleko zaczyło gotować.
WS04	Dobry, stary człowiek z koniem załamoł sie na lodzie i wpod w zimnąm odęn.
WS05	Łon umar przed stérma lub sześćiu tygodniami
WS06	Łogień był za ostry, placki sąm na spodzie czorno spolone.
WS07	Łon jy jaja zawsze bez słoli i pieprzu.
WS08	Nogi mie bardzo boląm, zdaje mi sie, że mom rany.
WS09	Jo byłem u kobiety i powiedziołom ji, a łona mowiła, że powie też swoji corce.
WS10	Jo już tego wiency nie zrobien.
WS11	Żne ciebie kopyściom za uszy, ty małpo.
WS12	Gdzie jidziesz, momy jiść z tobąm.
WS13	Sąm kiepskie czasy.
WS14	Moje kochane dziecko zostoń sa na dole, bo zło gęsi cię zagryząm.
WS15	Ty żeś się dziso najwiencej nauczył i byłoś grzeczny, możesz jisc przod do domu jak drudzy.
WS16	Jeszcze jeśteś za mały, abyś flaszka wina wypić móg, ty musisz jeszcze kawał urosnąć i być większy.
WS17	Jić bondź tak dobry, powiec tłoji siostrze, że ona mo suknie dla waszy matki uszyć i tom szczotkom wychendożyć.
WS18	Żebys go bół znoł! było by sie stało inaczy, i stoło by znim lepij
WS19	Kto mi moj koszyk z miysem ukrod?
WS20	Łon tak robił, jak by go do młocenia łobstalowali; łoni ale sami to zrobieli.
WS21	Komu łon ta nowa historya opowiadoł?
WS22	Trzeba bardzo wrzeszczeć, bo tak nos nie zrozumie.
WS23	My sąm zmęnczoni i chce nom sie pić.
WS24	Jak my wczora na wieczór nazod przyśli, to ci drudzy już leżeli w łożkach i mocno spali.
WS25	Sniek zostoł tej nocy u nos leżeć, ale rano dzisio stajoł.
WS26	Za nasząm chałupąm stojąm trzy ładne jabłoneczki i mająm czerwoni jabłuszka.
WS27	Nié możecie na nos jeszcze chwiołka czekać, potem pudziemy zwami.
WS28	Wy nie możecie takich głupstwów prowadzić.
WS29	Nasze gory nie sąm bardzo wielkie, wasze sąm dość wysze.
WS30	Dość fontów kiszki dość chleba chcecie?
WS31	Jo wos nie rozumiem, musicie głośni <(mówić)>. <(godać.)>
WS32	Nie znojdliście sztuk mydła białego dlo mnie na mojem stole?  
WS33	Jego brat chce sobie dwa domy nowe w waszym łogrodzie budować.
WS34	To słowo przyszło mu ze serca.
WS35	To było słusznie od wos.
WS36	Co to tam siedząm za ptoszki do gory na murze.
WS37	Gospodorze pięńć wołów, dziewieńć krowów i dwanoście łowców przyprowadzieli przed wieś i chcieli je sprzedać.
WS38	Ludzie som dzisio wszyscy na polu i siekąm.
WS39	Jidź jeno, tyn bury pies nic ci nie zrobi.
WS40	Jo jechołem z ludziami bez łąkę wtyle do żyta.
