---
Bogennummer: '80019'
Ort: Lichtena/Liechtena (Sense)
Sprache: Deutsch
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: CS Schweiz
Transliterent: 037af767-3b74-41aa-bf04-8ad3f5bdbb29
Anmerkungen: ''
Erstelldatum: '2018-09-10 14:18:53.974430'
...
WS20	Är tuet es so, as wiesena fur z'Drösche bsteut hette, sie hes aber säuber gmacht.
WS21	Wäm het er di nüwi Gschicht arzeut ?
WS22	Me muess lut brüele, süsch vorsteht är üs nit.
WS23	Wir si müed u he b [?] turscht.
WS24	Nächti wemer hei cho si, si di andere scho im Bett gsi u he fescht gschlafe.
WS25	Dr Schnee isch di Nacht bi us liege blibe, aber hüt um Morge isch er gschmolze.
WS26	Hinder üsum Hus stah drü schöni Öpfubömleni, mit rote N Öpfle.
WS27	Chüt er nit no a Ougeblick uf üs warte, nai ganger me mit öch.
WS28	Ihr tärfed nisetig Kinderei triebe.
WS29	Üser Bärge si nit grad hoi, euwer si höier.
WS30	Wimengs Pfun Wurscht u wiviu Brot weter ?
WS31	I vurstah noch nit, redet a chli luter.
WS32	Heter nit a Bitz wissi Söfa uf mim Tösch gfune ?
WS33	Si Brueder wott zwö schöni, nüi Hüser i ewem [?] Garte bue.
WS34	Z'Wort isch mu vom Härz cho.
WS35	Das isch Rächt gsi fa öch.
WS36	Was sitze da fur Vogeleni uf um Mürli ?
WS37	Buure he füf Schtiere u nün Chüe u zwöuf Schäfleni vor d's Dorf bracht, die he si welle vurkoufe.
WS38	"D'Lüt si hüt alli dusse uf em Fäut und meiie [""meie""?]."
WS39	Gang nume, de brun Hun macht dr nüt.
WS40	I bi mit de Lüt da hinder ober Matte ufe Chorplätz gfahre.
