---
Bogennummer: '80019'
Ort: Lichtena/Liechtena (Sense)
Sprache: Deutsch
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: CS Schweiz
Transliterent: 037af767-3b74-41aa-bf04-8ad3f5bdbb29
Anmerkungen: ''
Erstelldatum: '2018-09-10 14:18:53.974430'
...
WS1	Im Winter flöge di trochene Bletter i dr Luft uma.
WS2	Äs hört baud uf schnie, de chunt ds Wätter umi besser.
WS3	Tue Kohle i Ofe, dass Mouch baud chochet.
WS4	Dr [?] guot alt Ma isch mit um Ross dür z'Isch broche u i z'kalt Wasser ghit.
WS5	Är isch vur vier oder sächs Wuche gstorbe.
WS6	Z'Für isch z'grosses gsi, Kuoche si une ganz schwarz verbronne.
WS7	Är isst d'Eier ohni Sauz u Pfäffer.
WS8	D'Füess tüe mer weh, i globe, i heige si dürglofe.
WS9	I bi bi dr Frou gsi, u haras gset, u si ghet gset si wöllis au ihrem Me(i)tle säge.
WS10	I wots nie me mache.
WS11	I hou e dr es mit um Kochlöffu um d'Ohre, du Aff.
WS12	Wo gehst du hi, sümer mit dr cho?
