---
Bogennummer: IX_07_Ettelbrueck_99
Ort: Ettelbrück
Gid: 143253
Transliterationsprojekt: Huss-Transkriptioun
Transliterent: Transkribent in Lëtzebuerg
Erstelldatum: 2026-07-04 11:34:03.340259
Änderungsdatum: 2026-07-04 11:34:03.340259
Satzversion: 1
...
WS1	Am Wanter flēǐên dēǐ dröche Bliěder an dör Loft.
WS2	At hēǐört gleich op ze schnèdden, da gött D'Wiěder öröm bèsser.
WS3	Dēǐ Kūělen an dön Uewen dat Möllöch bāl ǔfänkt zö kǎchen (χ).
WS4	Dö gǔdden āle Mānn ass mat döm Pärd dūrch d'Eis gebrach (χ) an an dāt kāhlt D'Wasser gefāhl.
WS5	Heen ass vir vēiör oder secks Wochen (χ) gestūěrf.
WS6	D'Feiör wār zö stārk, d'Kǐch (χ) sö jo önnen ganz schwārz.
WS7	Heen össt d'Är ömmer ohnēi Salz a Päffer.
WS8	D'Fēǐs di mir sēǐör wēǐh, öch gläwen, öch hǔ sö dūrch gelāf.
WS9	Öch(χ) sö bei dör Frā gewiöss, an hǔnn ör öt gesōt, a sie sōt, sie gēǐf öt och(χ) hiěrer Dūö̌chter(χ) soon.
WS10	Öch(χ) wöll öt och(χ) nitt mēǐh dinn.
WS11	Öch(χ) schlōěn döch gleich mat döm Kachläffel(χ) öm d'Uǒěren, dū Āf.
WS12	Wūör gehs de hin, solle mir matt dör goon?
WS13	At sö (oder D'sö) schlecht Zeiten.
WS14	Méngt léift Kand, bleif hei önne stoon, dēi wēǐscht Gänsen beissen döch(χ) dūǒt.
WS15	Dū hūěs hätt am mésten geléört a bass artög gewīěss dū dūrfs ēǐschter hémgoon wēǐ dēǐ ānör.
WS16	Dū bass nach(χ) nitt grōess genug(χ) fir ěng Flěsch Wein auszedrénken, dū mǔss viraus nach èppes wūěssön a mēih grōes ginn.
WS17	Gēih, söf esö gutt a so dénger Schwöster, sie soll D'Klěder fir är Mǎmm fèrdöch(χ) nēǐhen a mat dör Bîscht rěnglöch(χ) māan.
WS18	Hässt du hee kannt! da wir öt āněschtör komm, an at gēǐf besser öm hee stoon.
WS19	Wén hūět mir mēi Kūrf mat Flésch gestūěl.
WS20	Heen hūět gemeet, wēi wann sö heen fir zö Drěsche bestālt hätten, si hǔnn öt āwer sèlwer gědo.
WS21	Wém hūět ön dēǐ nei Geschicht erzīölt.
WS22	At mǔss én hārt jeizen, soss verstéht héen eis nitt.
WS23	Mir si mitt an hǔnn Dūūscht.
WS24	Wēǐ mir göstör Owend eröm komm sön, dū lūǒchen(χ) dēǐ āner scho lāng am Bett a wāre fest am Schlōfen.
WS25	Dö Schnēǐ ass döss Nūěcht(χ) bei eis leihe blief, āwer hätt dö Mūěrgen ass hö geschmoolt.
WS26	Hǎnner eisem Haus stinn drei schēǐn Appelbämercher mat rūǒden Äppelcher.
WS27	Könn dir nitt nach(χ) én Abléckchen op eis wārden, da gi mör (oder mir) mat éch.
WS28	Dīer dūěrft keng esō Kannereien dreiwen.
WS29	Eis Biěrger sinn nitt esǒ hēǐch, är sö vill mēǐ hēǐch.
WS30	Wievill Pond Wǔrscht a wievill Brūǒt wöll dir hǔnn.
WS31	Öch verstinn éch nitt, dir mǔsst e bössö mēih hārt schwätzen.
WS32	Hǔtt dir kěngt Stöckölchen weiss Séef fir möch op méngem Dösch fōnd.
WS33	Sei Brǔdder wöllt söch zwee schēǐner, neier Heiser an äröm Gārt bauen.
WS34	Dāt Wūěrt kūǒmm öm fǔm Härz.
WS35	Dat war recht fŭn éch.
WS36	Wāt sötzen do fir Viegelcher ūěwen op der Maiěrchen?
WS37	D'Baūören hāten fönöff Uessen a nöng Kēih an zwielöf Schéwörcher firǔn Dūrf brūecht(χ) dēi wollte sö verkāfen.
WS38	D'Lätt sönn hätt allegūrten do bāǔssen op döm Feld a mēihnen.
WS39	Gēih nömmen, dé brongen Hond dét dör neischt.
WS40	Öch(χ) sönn māt děne Lätt do hannen iwer d'Wiss an d'Kār gefūěr.
