---
Bogennummer: VI_11_Elvingen_157
Ort: Elvange
Gid: 143439
Transliterationsprojekt: Citizen Science Projekt
Transliterent: Max Schmitz
Erstelldatum: 2026-07-06 21:36:15.374908
Änderungsdatum: 2026-07-06 21:36:15.374908
Satzversion: 1
...
WS1	Am Wanter rennen dé dreche Bléder an der Loucht erem.
WS2	Et léscht gleich no mat schneien, da get d'Wiēder erem besser.
WS3	Dong Kōulen an den Oūven, dat d'Melleg glēich ufenkt ze kachen.
WS4	Dé gudden ale Mānn ass mam Pĕrd dūrch d'Eis gebrach an en ass ant d'kalt Wāsser gefāll.
WS5	En ass viēr véer oder sechs Woche gestourven.
WS6	D'Feier war ze stārk, d'Kouchen si jo ennen gānz schvārz verbrānnt.
WS7	En escht d'Ēier emmer ōné Salz a Peffer.
WS8	D'Fēss donge mer gānz wé, ech mēngen, ech hätt se wondgelōf.
WS9	Ech war bei der Frā, an ēch hun er et gesōt, an sie huōt gesōt se dét et och hierer Duōchter soen.
WS10	Ech well et och net mé māchen.
