---
Bogennummer: XII_02_Beiler_10
Ort: Beiler
Gid: 143175
Transliterationsprojekt: Huss-Transkriptioun
Transliterent: Transkribent in Lëtzebuerg
Erstelldatum: 2026-07-08 15:18:11.296212
Änderungsdatum: 2026-07-08 15:18:11.296212
Satzversion: 1
...
WS1	Am Wanter fléjən déi dréχən Bladər dūrχ d'‿Lūt erem.
WS2	t'‿héiərt glèiχ op ze schnaiən, da jět 't'‿Wédər erem bèssər.
WS3	Dõ Kȫlən an dən Uöwən, dat d'‿Mölléχ bāl āféngt ze kōχən.
WS4	De guddən āle Man ass mat də Pärdən dūrχ d'‿Āis gebrōχ, an an 't'‿kālt Wassər gefalle.
WS5	En ass vir veiər uödər säks Wǒχən gestuörwe.
WS6	't'‿Faiər wör ze warm, d'Kouχən sen jo önne ganz verbrannt.
WS7	En össt d'‿Aiər ömmər ohnə Salz a Péfər.
WS8	d'‿Féiss dõ met béiss wéi, éχ gléwə, éχ ha mer se dūrχ gelōf.
WS9	Éχ se bai d'Frau gewéisst an hān hir et gesot, on si sot, si wöllt hirem Médχə et ō soən.
WS10	Éχ wöll et ō net méi erem dō.
WS11	Éχ schloən déχ na ewèll jäng mat dem Koχlèffəl ö̌m d'‿Ueren, du Āf.
WS12	Wu jést de hin, solle mer mat der gon!
WS13	't‿se schlèχt Zèkte!
WS14	Méngt léift Kand, blaif hai önne schtō, déi béis Gänsə bäissən déχ dukt.
WS15	Du hass hokt am méstə geléiərt, an du bass brav gewiest, du kanns méi fréi hém go wéi déi annər.
WS16	Du bass na net grouss genou fir èng Flèsch Wäng aus ze drankə, du muss na t'‿éischt e bössχə wāssə à méi grouss jin.
WS17	Jank a bass sou gout ā son déngər Söstər, si soll d'Kléidər fir är Mamm färdəχ béizen ā mat der 'Bīscht rängəléχ mān.
WS18	Hässt du hièn kannt, dan wir et anneschter kommə, an et schtéing bèssər mat him.
WS19	Wén hat mer mäi Kuërəf mat Flésch gestuöle?
WS20	En dõt esõ, ass wan si hén beschtalt hätte fir ze dréschə, si han et éwəl sèlwər gemāt.
WS21	Wèm hat hén déi nai Geschiχt erzä̃lt?
WS22	't‿muss én hart jäizən, soss verschtét hén äis net.
WS23	Mir se méit, mer hān Dūscht.
WS24	Wéi mər jèstər owənd erem koumən, dū louχə déi annər ewèll an't‿Bètt a worə fèst an't‿schlofə
WS25	De Schnéi ass döss Nait bai éiss laiə bliwə, éwəl de Moirje ass e geschmolz.
WS26	Hannən ān aisst Hâus schtin dräi schinger Äppelbémχər mat rougden Äppelχər.
WS27	Wöllt der net nō e bösχə op èis wardən, da ji mer mat iéch.
WS28	Dir duörft keng esou Kanneraiən draiwe.
WS29	Aiss Biéjər se net héi, èr se vill méi héi.
WS30	Wéivill Pond Wūrcht a wéivill Brougt wöllt der hā?
WS31	Éχ verschtin iéch net, dir mousst e bösχə méi hārt schwätze.
WS32	Hat dir ként Schtékəlχə wäiss Séf fir mé̌ch op mäin Dösch font.
WS33	Säi Broudər wöllt sé̌ch zwé schingər naiər Haisər an äre Gārt bauə.
WS34	Dāt Wurt koum him vam Herz!
WS35	Dāt war recht van him!
WS36	Wāt sötzən do fir Fijəlχər, uowən op der Maiərχə?
WS37	d'‿Baueren hǎtte fönnef Uosse a néng Kéi an zwöllef Schäfərχə vir an't‿Duorf brait, déi wollte se verkōfe.
WS38	d'‿Läckt sen hockt all dobaussən op't Feld a mi ə.
WS39	Jank nömmə, de brongen Hond dét dir näisst.
WS40	Éχ se mat de Lägdə dohannə iwer d'Wiss an't‿Kuorə gefahr.
