---
Bogennummer: XII_04_Biwisch_4_N1
Ort: Biwisch
Gid: 143316
Transliterationsprojekt: Huss-Transkriptioun
Transliterent: Transkribent in Lëtzebuerg
Erstelldatum: 2026-07-21 16:07:57.167042
Änderungsdatum: 2026-07-22 11:54:08.220096
Satzversion: 1
...
WS1	Am Wantər fléiən di dréχe Bléder an dər Lūχt ərəm.
WS2	T'hīrt gəschwön op zə Schneiən, da gət d'Wièdər bèssər.
WS3	Dō Kuělən an dən Uèwən, dass d'Məliχ bāl āfängt zə kǎχən.
WS4	Də gudən ālə Man as mam Pèrd dūrχ d'Èis gəbraχ an an dat kālt Wassər gəfallen.
WS5	En as vīr véər odər sèks Woχən gəschtuèrwən.
WS6	D'Feiər wār zə wārəm, d'Koiχən sin ənən ganz schwǎrz gəbrant.
WS7	En əst d'Eiər əmər oné Salz a Peffər.
WS8	D'Féis dō mər séər wi, iχ mèngən, iχ han sə éimiχ gəlōf.
WS9	Iχ wōr bei dər Frāu gəwièst an han ər ət gəsōt, a si sōt, si wölt hīrər Duéχtər ət ō soən.
WS10	Iχ wöllət ō nət mi māχən.
WS11	Iχ hauən diχ gəschwön mam Kaχläffəl əmt d'Uərən, du Āf!
WS12	Wū géstə hən, sollə mər mat dər goən?
WS13	T'si schlèχt Zəktən!
WS14	Méngt līwt Kant, bleif hei ənə stoən, di bīs Gäns bèissən diχ dukt.
WS15	Du has hokt am mèschtən gəlīrt an du wōrst ārtliχ, du duěrəfst ischtər hém gōə wi di ǎnər.
WS16	Du bas na nit grus gənou fīr èng Flèsch Wéng ouszədrankən, du mus zum ischtən no ə Schték wāssən a mi grus gièn.
WS17	Gank a bǎs su goud a son déngər Söstər si soll d'Klèdər dīr èr Mam fèrdiχ niən, a mat dər Bīscht rèngliχ māχən.
WS18	Häs də nə kant! da wirrət anəschtər găngən, an ət wierəm bessər.
WS19	Wén hat mər mĕi Kuèrəf mat Flésch gəschtuèlən?
WS20	Hén hat əsu gəmāt, wéi wan ə fīrt Dreschə bəschtālt wir gièn, sə hǎnət sèlwər gəmāt.
WS21	Wém hat hén di nei Gəschiχt ərzallt?
WS22	D'Muss én hǎrt jěitzən sos vərschtèt ən ĕis net.
WS23	Mər si méit a mər han Dūscht.
WS24	Wi mər Gèstər Ōwənd ərəm kom sən, du han di ănər wèl amt Bett gəlén a wōre fèst am Schlofən.
WS25	Də Schnī as dəs Neit bei èis leiə blīwən, iəwər də Muərjən as ə gəschmollz.
WS26	Hannər eisəm Häus do schtin drèi schingər Äpəlbémərχər mat rugdən Äpəlχər.
WS27	Könt dər nət nō ən Auəblék op èis wārdən, da gi mər mat éχ.
WS28	Dər duèrft kèng əsu Kanəreiən māχən.
WS29	Eis Bièrjər sin nət ganz hi, éər si vil mi hi.
WS30	Wivil Pond Wūscht a wivil Brout wöl dər han.
WS31	Iχ vərschtin iəχ nət, dər must ə bössə mi hǎrt schwètzən.
WS32	Hat dər ként klèngt Schtèk Séf fīr miχ op méngəm Dösch fond?
WS33	Séi Broudər wöllt siχ zwé schingər neiər Heisər an ère Gārt bauən.
WS34	Dat Wuèrt as əmi fam Hěrz kom.
WS35	Dat wār gout von dər.
WS36	Wat sötzən do fīr Vigəlχər uəwən op dèr Meiərχən?
WS37	D'Bauərən hātə fönəf Uéssən a ning Kéi an zwiěləf Schéwərχən firān Duěrəf brēit, déi wolltən sə vərkōfən.
WS38	D'Ləkt sən hokt all dobäussən op d'Fèld a miən.
WS39	Gank nömən, də brongən Hond dèt dər něist.
WS40	Iχ si mat də Ləkt dohannən iwərt d'Wis an d'Kuèrre gəfārən.
