---
Bogennummer: X_06_Berl_59
Ort: Berlé
Gid: 143380
Transliterationsprojekt: Huss-Transkriptioun
Transliterent: Transkribent in Lëtzebuerg
Erstelldatum: 2026-07-23 13:41:40.268491
Änderungsdatum: 2026-07-23 13:41:40.268491
Satzversion: 1
...
WS1	Ǎm Wantər fleiən dei dréχə (dīr) Bliédər dūrəχ d'Lūχt (dorōχtər).
WS2	Et hèlt gəschwěn (gläiχ) ǒp mǎt schnaiən, da gět d'Wǐrdər ərém bèssər.
WS3	Deǐ (Dunk) Kǔelən ǎn dən Uewən, fīr dǎt d'Měləχ gəschwěn ufè͜nkt zə kə̀χən.
WS4	Die gǔdən ālə Mân ǎss mǎm Pä̃rt ǎn d'Äis (a)gərǎnt ǎn ǎn d'kālt Wāſsər gəfā̌l (gətrôlt)
WS5	En ǎss vīr věiər ǒdər (bǐs) sèks Wǒχə gəschtūərwən.
WS6	D'Fäiər wār zə schtārk (glǐgdiχ) d'Krènz (Sing=də Kǔχ) sǐ (āss) jo ěnə(n) gǎnz schwārz vərbrânt.
WS7	Hien (En) ěsst d'Ǟr ěmər ouni Sǎlz ǎ Pè̌fər.
WS8	D'Fěiſs(ß) dǐ mər emōl wẽi, eχ mè̌ngən (gliewən) eχ hǔ sə eǐməχ.
WS9	Eχ sə (wâr) bai dər Frâ gəwîescht ǎn ěχ hǔn hīr ət gəsôt, a si hǒt gəsôt (sôt), si geif hīrəm Métχən (hīrər Dûeχtər) ət ǒχ sôən.
WS10	Eχ mān ət ǒχ nǐk mé̃i. (wörtl.= Eχ wěl ət oχ nǐk měi māχən)
WS11	Eχ schlôuən dèχ gläiχ mǎt dəm Kǎχlèfəl əm d'Ôuərən, dū Āf!
WS12	Wūər géſs(ß) də he(ě)n, sǒlə mər mǎt dər gōən?
WS13	't sě schlèχt Zäîtən !
WS14	Měngt lêift Kânt, blâif hǎinǐdə schtōn, děi běis (=ōrəχ) Gè̌ns bâiſs(ß)ən děχ dôut.
WS15	Dū hǎss hǒkt ǎm méschtə gəlé̌iərt ǎn dū (wārs) bǎss brâf gəwîescht; du kǎns měi frei hém gōn əwěi děi ǎnər.
WS16	Du bǎss nǎχ nǐk mǎns (=grouſs/ß) gənǔχ, fīr èng Flèsch Wãǐn ãûszədrǎ͜nkən; du mǔss əmōl (=fīr 't eischt) nǎχ é Stìpχə wueſs(ß)ən (wōſs/ßən) a měi mǎns (=grôuſs/ß) gǐn.
WS17	Gěi a sěf əsôu gǔt ā sō dèngər Schwěstər, ət sǒl d'Gəzǎi fīr är Mǎm (= ärər Mǎm hīrt Gəzǎi) fierdiχ bǐksən a mǎt dər Bīscht rè͜ngliχ (=prǒpər) mān.
WS18	Hèss dən ə (němə) kânt! da wīr ət ǎnəschtər kõm (gǎng) ǎn ət gěif bè̌ssər əm ə schtōn
WS19	Wiên hǒt mər mäi Kuêrəf mǎm Flésch gəschtuelən (gəhôlt)?
WS20	En hǒt gəmét əwei wǎ sī e bəschtâlt hètə fīr zə drèschən, si hǔn ət ěwər sèlwər gəmét
WS21	Wém hǒt ən deî nǎi Gəschǐχt vərzâlt?
WS22	(E)'t mǔss én hārt jâizən, sǒss vərschtétən ä̂is (əs) nǐk.
WS23	Mər sə mǐkd an dūschtəriχ (wörtl. - a mər hǔn Dūscht).
WS24	Wẽi mər gèscht(ər) dən Ōwənt ərěm (=hém=hǎnəscht) koûmən, du lǔngən (=loûən) dei ǎnər əwèl (=schǒn) um Bèt a wārə gǔt əntschlōf. (wörtl.=fèst um Schlōfən)
WS25	Də Schnêi ass hènt (=dəs Nōχt) bǎi ä̂is laiə blǐwən, ma hǒkt də Mûerjən ǎs e gəschmǒlz.
