---
Bogennummer: X_16_Eschdorf_89
Ort: Eschdorf
Gid: 143326
Transliterationsprojekt: Huss-Transkriptioun
Transliterent: Transkribent in Lëtzebuerg
Erstelldatum: 2026-07-02 12:06:22.563288
Änderungsdatum: 2026-07-02 12:06:22.563288
Satzversion: 1
...
WS1	Am Wantər fléiən déi drəχe Blédər an dər Lūχt ərəm.
WS2	't héiərt glâiχ op zə schneiddən, da gət d'Wéidər ərəm bessər
WS3	Déi Kuölən an dən Uövən, datt d'Mölləχ bāl ŭfäingt zə kaχen.
WS4	Dé guddən ālə Mān ass matt dəm Pärt dūrχ d'Äis gəbraχ ann ann dāt kālt Wās'sər gəfal'l.
WS5	ən ass vīr véiər oddər säcks Woχə gəschduörwən.
WS6	t'Fäiər war zə schdārk, də Kuχ (d'Kuχə) sə so ənə ganz schwārz gəbrant.
WS7	ən əs'st d'Är əmər unni Salz a Päfərkrä'ut.
WS8	t'Féis di mər séiər wéi, əχ gläwən, əχ hunn sə dūrχ golāf.
WS9	əχ sə bai dər Fra gəwéscht an hunn ər ət gəsot, a si sot sə géif ət oχ hirrər Duöχtər soən.
WS10	əχ wö̌ll ət oχ nət naχ äng Kéiər dinn.
WS11	əχ schlònən da gläia mat dəm Kaχläffəl əm d'Ourən, dū Āf.
WS12	Wuör gǟs də hən, sollə mər matt dər göuən.
WS13	't sə schleχt Zäitən.
WS14	Méngt léift Kant, blaif hai ənə schdöuən, di béiss Gänsə bäis'sən dəχ döut.
WS15	Dū hoss hackt am mǟschtən gəléiərt ann dū bass brāf gəwéscht, dū duörfs méi fréi häm göuən wi di annər (Kannər)
WS16	Dū bass naχ nət gröus gənuχ fér èng Flèsch Wäin ä'uszədréngkən, dū muss zum éischdən naχ ə bəs'sə wuös'sən a méi gröus ginn.
WS17	Géi, səf əsöu gutt a so dengər Səschtər, sə sool t'Klädər fir är Mamm färdiχ bitzə̌n, a matt dər Bischt rängeliχ māχən.
WS18	Hässt ə nə kannt, da wér ət anneschtər kōm, at ət géif bessər əm ə schdöuən.
WS19	Wén hott mər mäi Kuörf matt Flǟsch geholl.
WS20	ən hott gəmät wi wa sən'ən firr zə dräschən beschdal'lt hätten, sə hātən ət iəwər sällwər gəmät.
WS21	Wém hott'ən déi nai Geschiχt ərtzé̄lt.
WS22	't muss ǟn hārt jäitzən, soss vərschdǟt ən 'ais nət.
WS23	Mər sə mitt a mər sən Dūschtriχ (hunn Dūscht).
WS24	Wi mər gäschtər dən Owənt rəm köumən, dū lŭχən déi annər əwell am Bätt a warən fess't əntschlof.
WS25	De Schnéi ass dəss Nuöχt (hənt) bai äis laiə blif, éwər hackt də Muörjən ass ə gəschmolz (əntdäχt)
WS26	Hannərt äisəm Hä'us schdinn dräi schéinər Äppəlbämərχən matt röudən Äppələrχən.
WS27	Könn'dir nət naχ ä klängən Ablack op äis wardən, da gi mər matt īχ.
WS28	Dər duörft käng əsöu äng Kannəriχkätən dräiwən.
WS29	Ais Bérger sə nət ganz héi, är sə fill méi héi.
WS30	Wéifill Pont Wūscht a wéifill Bröut wöll dər hunn.
WS31	əχ vərschdinn éχ nət, dər musst ə bə̆s'sə méi hārt schwetzən.
WS32	Hott'ər kèngt Schtəkχə wäiss Säf fér məχ op méigəm Dösch font.
WS33	Säi Bruddər wəl'lt səχ zwǟ schéin nai Haisər an ärəm Gart bauən.
WS34	D'Wūrt köum əm fum Hǟrz.
WS35	Dāt war séiər schéi funn hinnən.
WS36	Wā fir Fillərχə sət'zən do uöwən op dér Maiərχən.
WS37	t'Bauərən hātən fonnəf Uös'sən ą ning Kéi ann zwéləf Schéfərχən firun d'Duörəf bröuχt, déi wol'tən sə vərkāfen.
WS38	t'Lätt sən hackt alləguör do bäus'sən op dəm Felt ą méinən.
WS39	Géi nəmən, dé brungən Hont dät dər näischt.
WS40	əχ sə matt də Lätt do hannən iwər d'Wisən ann d'Frūχt gəfuör.
