---
Bogennummer: X_25_Kautenbach_75
Ort: Kautenbach
Gid: 143378
Transliterationsprojekt: Huss-Transkriptioun
Transliterent: Transkribent in Lëtzebuerg
Erstelldatum: 2026-07-19 13:33:12.350164
Änderungsdatum: 2026-07-19 13:33:12.350164
Satzversion: 1
...
WS1	Am Wantər fléiən déi drəχə Blédər an dər Lūχt ərəm.
WS2	Et héiərt gläiχ op tze schnei(ai)ən, da gət d'Wiéder ərəm bessər.
WS3	Döū Kuölən an dən Uöwən, datt d'Mölliχ bal ǔfänget tze kaχən.
WS4	Dé gud'den ālə Mann ass mat dəm Pärd durrəχ d'Äis gebraχ ann ann dāt kālt Wāssər gəfallən.
WS5	En ass vīr véiər oddər säcks Woχən gəschtuörwən. 
WS6	T'Feiər wār tzə schtaork, t'Köuχən sə jo ənən ganz schwaortz gebrant.
WS7	Hǟn ässt d'Är əmər unni Salz a̮ Peeffər.
WS8	T'Féiss du̇ mər séiər wéi, əχ gléwən əχ hūnn sə durəχ gəlāf.
WS9	Ech sə bai dər Fra gəwést, an hunn hirr ət gəsõt, a̮ sī sõt, sī géif ət oχ hirrər Dūöχtər soən.
WS10	Eχ wəl'l ət oχ nət méi ərəm dǔnn.
WS11	Eχ schlon dəχ gläiχ mǎ' 'm Kaχläffəl em d'Öurən, dū Āf.
WS12	Wöu gés də hən, sollə mir mat dir gōn?
WS13	T'sə schleχt Zäitən.
WS14	Məngt léift Kant, blaif hai ənə schtō'n, déi béiss Gänsən bäissən dəχ dõūt.
WS15	Dū hās hèckt am mǟstən gəléiərt an dū bass brāf gəwiést, dū duörfs méi fréih hiém gō'n wéi déi annər.
WS16	Du bass na̮ nət gröuss gənöuχ fir eng Flesch Wäin äuszədrəngkən, du muss zum éischtən nǎχ ə bə̄ssə méi gröuss ginn.
WS17	Géi, séif əsöu gutt a̮ so dəngər Schwəstər si soll d'Klädər firr är Mamm férdig bicksən a mat dər Bīscht rèngliχ mān.
WS18	Hèss Du ə kannt! Da̮ wir et annəschtər kommən, an ət géif bəssər əm ə schtōn.
WS19	Wän hott mir mäi Kuörəf mat Flǟsch gəschtōlən?
WS20	E möuχ əsöu, wéi wann sə hän firr tzə drə̀schən bəschtalt hättən; si hunn ət éwər sèllwər gemāt.
