---
Bogennummer: X_35_Oberwampach_30
Ort: Oberwampach
Gid: 143227
Transliterationsprojekt: Huss-Transkriptioun
Transliterent: Transkribent in Lëtzebuerg
Erstelldatum: 2026-07-18 13:19:16.238063
Änderungsdatum: 2026-07-19 12:39:33.138742
Satzversion: 1
...
WS1	Am Wantər fléiən déi drəχə Blädər an dər Lūχt ərəm.
WS2	't héiərt gläiχ op zə schnä̌ggdən, da gət d'Wiédər ərəm bessər.
WS3	Dunn Kuölən an dən Uöwən, datt d'Mölləχ gəschwən oféngt zə käχən.
WS4	Dä guddən ālə Man̄ ass matt dəm Pert durəχ d'Äis gəbraχ ann ann dāt kālt Wās'sər gəfal'lən.
WS5	ən ass firå véiər uddər säcks Woχə gəschduörwən.
WS6	t' Fäiər war zə schtārək, t'Köuχən sə jo ənen ganz schwārz ågəbrant.
WS7	Hién əs'st d'Är əmər on̄né Salz a̮ Päfer.
WS8	t'Féis dǔ märr diχdəχ wéi, əχ gläwən, əχ honn sə durəχ (wont) gəlāf.
WS9	əχ sə bai dər Fra gəwiés't ann əχ honn hirr ət gəsot, a̮ sī sot, sə géif ət hirrər Duöχtər oχ soən.
WS10	əχ wəl'l ət oχ nick méi dunn.
WS11	əχ schlō'n dəχ gläiχ matt dəm Kaχläffəl əm d'Öuerən, dū Āf.
WS12	Wöu gǟs't du hən, sollə merr matt derr goən?
WS13	't sə schleχt Zäitən.
WS14	Méngt léift Kant, blaif hai ənə schdoən, déi béis Gänsən bäis'sən dəχ döut
WS15	Dū hoss hockt am mǟs'tə geléiərt, ann dū war's braf, dū duörəfs éischdər häm goən, ass wéi déi annər.
WS16	Dū bass na̮ nick gröus gənöu firr èng Fläsch Wäin äuszədrangkən, dū muss fir d'éischt nā ə bəs'sə wōs'sən a̮ méi gröus géiən.
WS17	Gank, səf əsöu gudd a̮ sō zu dəngər Səstər, sə soll d'Klédər firr är Mamm fiérdəχ bicksən a̮ matt dər Bīscht rä̌ngələχ māχən.
WS18	Häs'st dū hä kant, da wir ət annəschdər kommən ann ət géif bessər əm hä schdoən.
WS19	Wǟn hōt mərr mäi Kuörəf mǎ'm Flǟsch gəschduölən.
WS20	ən hōt səχ əsöu gəschdal'lt, wéi wann sī hä bəschdal'lt hättə firr ze drǟschən; sī honnət éiwəl sel'lwər gəmāχt.
WS21	Wém hōt hǟn déi nai Gəschiχt gəzal'lt.
WS22	't muss än harrt jäitzən, soss vərschdǟt hǟn äis nick.
WS23	Mərr sə miggt ann dūschtərəχ.
WS24	Wéi merr gəs'tər ōwent ərəm köumən, dū löuχən déi annər əwəll am Bätt a̮ warə fes'st əntschlofən.
WS25	Də Schnéi ass hənt bai äis laiə bliwən, éiwəl hockt də Muörjən ass ə gəschmolzən.
WS26	Hannərt aisəm H͡auss schdinn dräi schéinər Äppəlbämərχən matt röudən Äppəlχər.
WS27	Kann dərr nick naχ än Abləkəlχən op äis wārdən, da gǐ merr mat ǟχ.
WS28	Dər duörəft kèng əsöu äng Kannəraiə māχən.
WS29	Ais Biérjər sə nick ganz héi, är sə fill méi héi.
WS30	Wifill Pont Wūscht a̮ wifill Bröut wəl'l dər honn.
WS31	əχ vərschdinn ǟχ nick, dər musst ə bəs'sə méi hārt schwätzən.
WS32	Hott dər kèngt Schdəkəlχə wäis Sǟf op mengəm Dösch firr məχ font.
WS33	Säi Bruggdər wəl'lt səχ zwä schéin nai Haisər ann ärəm Gart oprīχtən.
WS34	Dāt Wuört köum həm fomm Hǟrz.
WS35	Dāt war schéi fonn ǟχ.
WS36	Wāt firr Fillərχər səzən du uöwən op dér Maiərχən.
WS37	t'Baurən hātən fönnəf Uös'sən a̮ ning Kéi ann zwéiləf Schéfərχər fīron Duörəf bråχt, déi wol'ltən sə vərkāfən.
WS38	t'Leggt sən hockt all do bäus'sən am Felt a̮ sə méinən.
WS39	Géi nəmən, dä brungən Hont dǟt dər näischt.
WS40	əχ sə matt də Leggt do hannən iwər d'Wiss ann d'Kuörən gəfårən.
