---
Bogennummer: X_36_Pintsch_69
Ort: Pintsch
Gid: 143099
Transliterationsprojekt: Huss-Transkriptioun
Transliterent: Transkribent in Lëtzebuerg
Erstelldatum: 2026-07-14 13:25:28.335438
Änderungsdatum: 2026-07-15 13:43:10.628072
Satzversion: 1
...
WS1	Ǎm Wǎnter fləien dəi drəəχə Blédər an dər Luχt ərəm.
WS2	T'həiərt gl͡äiχ op mat schneiən, da gət d'Wiəder ərəm bèsser.
WS3	Dǔ K͡uəlen ǎn den Uəwen dǎt Məlliχ gläiən ufänkt zə käχsən.
WS4	Dé gudən āle Mǎn ass mat dəm Pärd durχ d'Èis gebrǎχ ǎn ǎn dāt kālt Wāser gefǎllən.
WS5	En ass fir v͡əiər odər sèks Woχən geschtuərwən.
WS6	D'Feier w͡oor ze glikdiχ də Kuχ ass jo ənnən ganz schw͡oərz gebrǎnnt.
WS7	En əst d'Är əmmər ͡əuni Sǎlz ǎ Péfər.
WS8	D'F͡əis du mer b͡əis w͡əi, əəχ gléwən əəχ hon se durəsgelāf.
WS9	Eəχ sə bei dər Frā gewîəst an əəχ hǒn hirr ət gəsōt, ǎn si hǒt gesōt si g͡əif ət oχ hirer Dûəəχtər soon.
WS10	En wəll ət oχ nék naχ eng K͡əiər dun.
WS11	Eəχ schloən dəəχ gläiəs mam Käəχlèffəl əm d' ͡əuərən du Āf.
WS12	Woər gäste hən, sollə mər mat dər goən?
WS13	Eət sə schl͡èiəχt Z͡èitən.
WS14	M͡əinkt l͡əift Kand, bleiw hei nidə schtoən, d͡əi b͡əis Gènsən bèissən dəəχ d͡əut.
WS15	Du hos hèkt am mästən gəliərt an du bas ͡oərtəəχ gew͡iəst du d͡uərfs ͡əischtər häm goən wəi dəi ǎnər.
WS16	Du bass naχ nék grəus gen͡əuən fir èng Flèsch W͡äin ĕuszədrankən du muss naχ d'͡əischt engt gut Stéck wôəsən a məi grous gin.
WS17	G͡əi, səf esəu gut a so dèngər Səstər, sə soll d'Klédər fir är Mam f͡iərdiəs biksən a mat dər Bischt rèngliəs māχən.
WS18	Hès du ə kǎnnt, da wirr ət ǎnəschtər gǎngən an d'g͡əif bèssər əm ə schtoən.
WS19	Wiən hot mər m͡äi Kûəref mam Flésch geschtuəlen?
WS20	En hot es͡əu gemāχ w͡əi wann sə hén beschtallt hèttən fir ze dreschən, si hon ət ͡iəwer sèlwər gemāχt.
WS21	W͡iəm hot hén d͡əi nei Geschiəst verz͡iəlt?
WS22	D'muss én h͡oərt jäizən, soss verschtét ən äis nék.
WS23	Mər sə mikt a mər hon duscht.
WS24	W͡əi mər gèstər Owənd ərəm k͡əumən do ləûjən di ǎnnər wèl am Bètt an hon fest geschlōf.
WS25	Də Schn͡əi ass dəs Nôəχt bei äis leiə gəbliwən îwər də m͡uərjən ass ə gəschmolzən.
WS26	Hanner un eisəm Haus schtin dräi sch͡əinər Èppelbämərχər mat r͡əudən Èppələrχər.
WS27	Kommt dər nék naχ en Ablékəχən op əs w͡oərdən da gi mər mat əəχ.
WS28	Dər dûrəft kèng əsəû èng Kannəreiən dreiwən.
WS29	Eis B͡iərjər səən nék ganz h͡əi, är sə fill m͡əi h͡əi.
WS30	Fifill Pond Wuscht a fifill Pont Brəût wəllt dər hon?
WS31	Eəχ vərschtin əəχ nék dər must ə bəssə məi hôərt schwètzən.
WS32	Hot dər kèngt Stékəlχən w͡äis Séf fir məχ op m͡əngəm Dəsch font?
WS33	Säi Bruder wəllt səχ zwä sch͡əinər neiər Heisər an ärəm Gārt opriχtən.
WS34	D'W͡uərt k͡əum əm fun Härzən.
WS35	Dāt woər schəi fun hinnen.
WS36	Wāt sətzən do fir Fillərχən ûewən op der Meiərχen.
WS37	D'Bauərən hātən fənef Uəsən an n͡əing K͡əi an zwéləf Schéfərχən  fir D͡uərəf broχt, d͡əi wolltən sə ferkāfən.
WS38	D'Lèkt sen hèkt all dob͡èussən um Fèld a m͡əinən.
WS39	G͡əi nemmən dé brungen Hond dét der näischt.
WS40	Eəχ se mat de Lèkden do hannən iwer d'Wis an d'K͡uərən gəf͡oərən.
