---
Bogennummer: X_37_Selscheid_33
Ort: Selscheid
Gid: 143176
Transliterationsprojekt: Huss-Transkriptioun
Transliterent: Transkribent in Lëtzebuerg
Erstelldatum: 2026-07-24 13:28:53.269266
Änderungsdatum: 2026-07-26 12:41:57.623856
Satzversion: 1
...
WS1	Am Wantər fléiən déi drəχə Bliédər an dər Luχt ərəm.
WS2	't héiərt gläìχ op ze schneggden, da gət d'Wiéder ərəm be(ä)sser.
WS3	Dunk Kuölen an dən Uöwen, datt d'Mə̌ləχ bāl åféngt zə käχən.
WS4	Dä gudden āle Man̄ ass durəχ d'Äis gəbraχen, ann ann dāt kālt Wās'sər gəfallən.
WS5	ən ass vīr véiər oddər säcks Woχə gəschtuörwən.
WS6	d'Fäiər war ze schtārək, d'Köuχə sə jo əeən ganz schwārz gəbrant.
WS7	ən əs'st d'Är əmər onné Salz a Päfərkräut.
WS8	d'Féis dǔ mər ganz wéi, əχ gläwən, əχ hån sə durrəχgəlōfen.
WS9	əχ sə bai dər Fra gəwiés't, ann əχ hån ər ət gəsot, a sī sot, sī géif ət oχ hirrər Duöχter soən.
WS10	əχ wəl'l ət oχ nek méi dunn.
WS11	əχ schlōn dəχ gläiχ mǎm Kaχläffəl əm d'Öurən dū Āf.
WS12	Wöu gäs də hən, sol'lə mər matt dər goən?
WS13	ət sə schleχt Zäitən.
WS14	Méngt léift Kant, blaif hai ənə schtoən, déi årəχ (béis) Gänsə bäis'sən dəχ döut.
WS15	Du hås hockt am mäs'stə gəlě'ərt, ann du bass brav gəwiés't, du duörəfs méi fréi há̃m goə wéi déi annər.
WS16	Du bass naχ nək gröus gənöu, firr éng Flesch Wäin äuszedrəngken, du muss zuméischtə naχ ə bəs'sə wås'sən ǎ méi gröus géin.
WS17	Géi, səf əsöu gudd a̮ so zöu dengər Səstər, sə sol'l d' Klädər firr är Mamm fiérdəχ bicksən a̮ matt dər Bīscht rängələχ maχen.
WS18	Hässt du ə kant, da wir ət annəschtər kommən, ann ət géif besser əm hä schtoən.
WS19	Wän håt mər mäi Kuöref matt Flǟsch gəschtuölen.
WS20	ə məχt əsöu, wéi wann sə hä firr ze drǟsche beschtal'lt hättən, sə hån ət əwer sellwer gedunn.
WS21	Wiém håt ən déi nai Geschiχt ərzal'lt.
WS22	't muss än harrt jäitzən, soss vərschtǟt ən äis nek.
WS23	Mər sə miggd a mer sən dūschterəχ.
WS24	Wéi mər gəs'tər ərəm köumən, du löuən déǐ annər wel'l langk am Bätt a warə fes'st əntschlofən.
WS25	Də Schnéi ass hənt bai äis lǎiə blǐwən, öwər hockt de Muörjən ass ə geschmolzən.
WS26	Hannert aisəm H͡aus schtinn dräi Äppelbämerχən matt röudən Äppəlerχən.
WS27	Kont dər nək naχ än Ābləkχən op äis wārdən, da gi mer matt äχ.
WS28	Dər duörəft kèng esöu èng Kanneraiən maχən.
WS29	Ais Biérjər sə nek ganz héi, är sə vil'l méi héi.
WS30	Wéifil'l Pont Wūscht a wéifil'l Bröut wəl'lt dər hån.
WS31	əχ vərschtinn äch nek, dər musst ə bəs'sə méi harrt schwätzen.
WS32	Håt dər kèngt Schtəkχə wäis Säf firr meχ op məngəm Dəsch font.
WS33	Säi Bruggdər wəl'lt səχ zwä schéin nai Haisər ann ärəm Gard bauən.
WS34	Dāt Wuört köum him våm Härz.
WS35	Dāt war rəχt vån äχ.
WS36	Wāt firr Villərχə sə'zən do op dér Maiərχən?
WS37	t'Bauərən hātən fenəf Uös'sən a̮ ning Kéi ann zwéilef Schéferχən fīr ånt d'Duörəf bråχt, déi wol'ltən sə vərkōfen.
WS38	d'Leggt sən hockt all do bäussən ann sə méinen.
WS39	Géi nəmən, dä brungən Hont dät dər näischt.
WS40	əχ sə matt dé Läggdən do hannən iwər d'Wiss an d'Kuörə gəfårən.
