---
Bogennummer: X_40_Wiltz_57
Ort: Wiltz
Gid: 143382
Transliterationsprojekt: Huss-Transkriptioun
Transliterent: Transkribent in Lëtzebuerg
Erstelldatum: 2026-07-09 13:28:22.699408
Änderungsdatum: 2026-07-09 13:28:22.699408
Satzversion: 1
...
WS1	Am Wanter fléən déi dreχə Blèdər durχ d'Loft erömm.
WS2	D'héərt glèiχ op ze schneiən, da get d'Wéder erömm bèssər.
WS3	Dǔ Kohlən an dən Owen dat d'Melliχ bāl ãfenkt ze kaχən.
WS4	Dè gǔddən ālə Man ass mat dem Pérd durχ d'Ais gebraχ an an dāt kālt Wāssər gefallən.
WS5	Héin ass fir féər oder sècks Woχen geschtorwən.
WS6	D'Fèiər war ze wãrm, d'Kōχən se jo ennen ganz schwãrz gebrannt.
WS7	Hén esst d'Äər emmer onné Salz a Päfər.
WS8	D'Féss dǔ mir ganz wéi, eχ glèwen eχ hãn se dǔrchgelāf.
WS9	Ech wār bei der Frā an hãn hir et gesōt, a si sōt, si welt et oχ hirem Médχen soən.
WS10	Eχ wel et oχ nick mé eremm dǔn.
WS11	Eχ schloen deχ gläiχ mat dem Kaχleffel em d'Oərən dǔ Āf.
WS12	Wo gès de hen, solle mir mat dir goən.
WS13	T'se schleχt Zèiten.
WS14	Méngt léift Kand bleif h͡ei enne schton, dé bés Gänsen bèissen deχ dôt.
WS15	Dū hãs hackt amm mèsten geléərt a bass brâf gewést dǔ dōrfs éschtər hèm goən wé dé annər.
WS16	Dǔ bass naχ nick groess genoe fir eng Flèsch Wèin ãǔszedrénken, dǔ mǔss eléscht naχ èngt Ènn wãssen a mé grǒss gin.
WS17	Gé sef eso gǔt a so dénger Schwestər si soll d'Klèdər fir ér Mamm férdiχ bicksən a mat dər Bīscht rèngliχ mān.
WS18	Hēss dǔ hèn kannt da wér et anneschter kommən an et géif bessər em hè schtoen.
WS19	Wèn hãt mir mèi Korəf mat Flēsch geschtōlən.
WS20	Hén hãt eso gemèt wé wan si hēn zǔm Drèschen beschtalt hētten, si hann et ewer sèlwer gedǔn.
WS21	Wém hãt hèn dé nei Geschiχt erzāllt?
WS22	Et mūss èn hãrt jèitzen soss verschtèt hèn èis nick.
WS23	Mir se mickt an hãn Dǔscht.
WS24	Wé mir gester ōwend erömm kǒmen dǎ lǒen dé anner ewèl am Bett a waren fèst am Schlōfen.
WS25	De Schnéi ass des Nãχt bei ēis leie bliwen ewer hackt de Morjen ass e geschmōlz.
WS26	Hannert eisem Haǔs schtin drei schéner Äppelbämerχen mat rôden Äppellerχen.
WS27	Kent dir nick naχ èn Ableckχen op ēis worden da gi mir mat éχ.
WS28	Dir dorft kèng eso ēng Kannereien dreiwen.
WS29	Eis Bérjer se nick ganz hé, ér se fill mé hé.
WS30	Wifill Pond Wūscht a wivill Brǒt wellt der hãn.
WS31	Ech verschtinn éch nick, der mǔsst e besse mé hãrt schwètzen.
WS32	Hãt dir kengt Schteckχen wèiss Sèf fir meχ op méngem Desch font.
WS33	Sèi Brǔgder welt seχ zwè schéner neier Heiser an eisem Gōrt bauen.
WS34	Dat Wōrt kǒm him fãm Hèrz.
WS35	Dat war rèχt vãn éχ.
WS36	Wāt setzən do fir Fillərχən owən op dér Meiərχən.
WS37	Dé Baūerən hātən fenef Ōessen a ning Ké an zwélf Schéwərχən firūn Dōrf brãχt, dé woltən se verkāfən.
WS38	D'Lèckt sən hackt all do baūssen op dem Fèld a méən.
WS39	Géə nemmən, dè brǔngen Hond dèt dir nèischt.
WS40	Eχ se mat dé Leckt do hannən iwər d'Wis d'Kōr gefãrən.
