---
Bogennummer: X_Wilwerwiltz
Ort: Wilwerwiltz
Gid: 143210
Transliterationsprojekt: Huss-Transkriptioun
Transliterent: Transkribent in Lëtzebuerg
Erstelldatum: 2026-07-14 12:51:24.710565
Änderungsdatum: 2026-07-14 12:51:24.710565
Satzversion: 1
...
WS1	Am Wǎnntər fléiən déi dréχə Blée'dər dũrχt t Luuχt ərəm.
WS2	ət héiərt gläiχ ǒp zə schnègdən, dǎ gət Wéidər rəm béssər.
WS3	Du Kəələn ǎn dən əəwən, dǎt t Məléχ bâl ûfènkt zə kaχən.
WS4	Də gǔdən âlə Mǎnn ǎs mǎt dəm Pêrt dûrχ d'Äis gəbrǎχ ǎn ǎn dât kâlt t Wâssər gəfǎll
WS5	ən ǎs fîrǔ féiər odər sèks Woχə gəstǔəwən.
WS6	T Feiər wâr zə wârm, t'Kǔχə sə jo ənə gǎnnz schwarz gəbrǎnnt.
WS7	ən əst d' ̂Er əmər ǔni Sallz ǎ Pèffər.
WS8	T Féis dǔ mər séiər wéi, éχ gléwən, éχ hǔn sə dûrchgəlaaf.
WS9	éχ sə bai dər Frâ gəwééscht ǎn hǔn ər ət gəsôt ǎn si hǒt gəsôt, si wǒllt ət oχ îrər Dəəχtər sôn.
WS10	éχ wəll ət âwər oχ nət méi dǔn.
WS11	éχ schlǒən déχ gläiχ mǎm Kǎχlèfəl əm d'Oeərən, du Aaf!
WS12	Wûə géés du hin, sǒlə miə mǎt dər goon.
WS13	ət sə schlèχt Zäitən.
WS14	Méngt léift Kǎnnt, blaiw hai nîdə stoon, dǐ béis Gèns bäissən déχ doud.
WS15	Du hǒs haut ǎm mäschtə gəléiət ǎ bǎs brǎf gəwééscht, dǔ dûərfs méi fréi héém goon wéi déi ânər.
WS16	Dǔ bǎs nǎ nət grous gənuχ fîr èng Flèsch Wäin äuszədrénkən, du mus fîr d'éischt naχ èngt Schték wəəssən a méi grouss gǐn.
WS17	Géi ǎ səf əsou gǔd ǎ sǒ déngər Schwəstər, si sǒl t Klédər fîr êr Mǎm fêrdéχ néiən, ǎ mǎt dər Biischt rèngléχ mâχən.
WS18	Hèss du ə kǎnnt, dǎ wîr ət ânəscht gəkǒmm ǎn ət géif bèssər əm ə schtoon.
WS19	Wéen hǒt mîər mäi Kuərf mǎt Fléésch gəstəəl.
WS20	ən hǒt sèχ əsou gəschtǎllt ǎls hèt ən si héén fîr d'Drèschə bəschtǎllt.
WS21	Wém hǒt ən déi nai Gəschiχt ərzéélt?
WS22	T mǔs än hârt jäizən, sǒss fərschtät ən äis nət.
WS23	Mîr sə mid ǎn dûschtriχ.
WS24	Wéi mir gəschtər ôwənd ərəm kǒm sən, dǔ louən - déi ânər schǒn ǎm Bèt ǎ hǔ fèst gəschlôf.
WS25	Də Schnéi ǎs dəs Nəəχt bai ǒns laiə gəblǐf, âwər haut də məərjən ǎs ə gəschmǒllt.
WS26	Hǎnnərt aisəm Hâus stîn dräi schéin Èppəlbém mǎt roudən Epəl.
WS27	Kənt îr nət ən Âblék ǒp äis wârdən, dǎ gi mər mǎt ééχ.
WS28	Dîr dûrft nət sou Kǎnnəraiən draiwən.
WS29	Ais Bîrjər sə nət séiər héi, êr sǐ fǐl méi héi.
WS30	Wéifil Pǒṉṉt Wuuscht ǎ wéifil Brout wəl dər hun.
WS31	Éχ fərstîn ééχ nət, dîə mǔst ə bəssχə méi hârt schwètzən.
WS32	Hǒt dər kèngt Schtékχə schwârz Sééf fîr méχ ǒp mèngem Dəsch fǒṉṉt.
WS33	Säi Brǔdər wəllt séχ zwéé schéin nai Haisər ǎn êrəm Gart bauən.
WS34	Dât Wûərt ǎs əm fǔn Hèrze kǒm.
WS35	Dât wâr rèχt fǒn hǐnən.
WS36	Wât sətzən do fîr Fǔlən ǒp dər Maiərχən.
WS37	D Bauərən hâtə fənəf əəssən ǎn něng Kéi ǎn zwələf Schéwərχər firun Dûərf gəbrooχt, déi wǒlltə sə fərkâfən.
WS38	T Lèkt sən haut ǎl dobäussən ǔm Fèllt ǎ méinən.
WS39	Géi nəmmən, dé brongən Hǒṉṉt déét dər näischt.
WS40	éχ sə mǎt dénə Lèkt dǒhǎnən îwər d Wǐs ǎn t Koor gəfoor.
